SampleID,Cluster,K1,K3,Orf70,K4,K5,K7,Orf16,Orf17,Orf18,Orf4,Orf20,Orf21,Orf22,Orf23,Orf24,Orf25,Orf26,Orf27,Orf6,Orf29,Orf30,Orf32,Orf34,Orf36,Orf37,Orf7,Orf39,Orf40,Orf42,Orf43,Orf44,Orf45,Orf46,Orf47,Orf8,Orf48,Orf49,Orf50,Orf52,Orf54,Orf55,Orf56,Orf57,Orf9,vIRF1,vIRF4,vIRF2,Orf58,Orf59,Orf60,Orf61,Orf62,Orf63,Orf10,Orf65,Orf66,Orf67,Orf68,Orf69,LANA,K14,Orf11,K15,K2
1835,2,4.096640889,-4.05332123,-2.356423224,0.234375644,2.692669458,-1.603622792,3.775438164,1.790349532,5.507091618,-0.154970359,3.80576686,-1.664682285,1.2779049,4.961553198,-1.954413221,3.125563248,3.528825575,-0.004690344,9.436999889,-0.961643126,4.086107612,0.509290532,4.128054061,-0.472936311,-9.493592991,8.517483646,-1.246610814,-0.323601677,-0.328568776,-1.525012488,-0.116488816,-4.967491671,5.104573867,2.429765681,8.384586831,2.071300627,1.819314211,1.923276702,8.975989724,0.055334148,2.078413467,0.500476289,1.325700314,7.890431566,-0.632553929,0.505218287,-4.351413271,4.849712061,2.343777046,2.223315574,-1.659750627,4.21404154,-2.088097443,8.269994209,-14.09892464,-2.686554701,3.128608152,0.08459396,4.739774726,3.813996432,0.357235935,4.84695907,-1.172122597,1.959153035
3392,2,-1.415987336,8.649769577,8.86333425,8.848171559,5.843484594,11.21416351,12.30822447,4.163196468,5.854999186,7.015492223,9.899947398,2.240508585,10.57968159,12.9543395,3.260344253,8.66602583,3.621733143,6.643095961,9.866148359,10.44013357,6.013236861,5.177137468,6.515840366,-0.472936311,7.881164483,8.059965449,4.868146659,5.576627366,8.349217528,7.911804627,8.139630822,2.835900399,-1.199610997,7.051566402,10.43706863,8.035601347,6.239917815,3.405405951,10.82180486,6.815796729,5.505854043,5.91586836,5.818182117,8.429580035,6.674246791,10.44201901,9.346373034,8.942193863,7.076258849,7.84913071,9.862050093,9.189856676,4.385754037,9.952476011,10.66689049,6.171582493,9.176394457,1.594087353,8.165589862,6.259230054,6.016536656,8.342774206,1.531366484,6.604968171
3450,1,-1.415987336,-3.001467313,-2.356423224,-2.968252581,-5.58627288,-1.982813084,-5.406533004,-3.939121637,6.037901325,-6.582411333,-3.793810075,-0.29414248,-4.123409213,-5.000417971,-1.954413221,-3.47039831,-2.678145594,-0.328880636,-11.21027578,-4.652957238,-0.684666695,-2.790180637,-4.593917107,-0.472936311,-1.995812115,-6.823125358,-1.246610814,-6.009178613,-6.845539945,-8.007806017,-7.603272734,-4.499407672,-6.353806718,-5.956800634,-5.147501589,-7.035265688,-4.709390257,-7.764164272,-12.90517174,-5.960252909,-8.122839585,-7.112776763,-3.584534188,-2.654990188,-3.205229806,-5.52995759,-2.685603564,-4.784782734,-5.47979079,-7.297845887,-7.346316942,-9.949713547,-0.909466014,-9.337281462,-14.51286698,-2.326494701,-6.10058214,-6.528116917,-17.93916761,-7.823326971,2.678450497,2.333578485,-8.192263299,-7.034789302
3588,1,-1.415987336,-4.05332123,-2.356423224,-2.968252581,-5.58627288,-14.07059396,-5.406533004,-3.939121637,-3.364879551,-7.360931918,-3.793810075,-0.272093717,0.660493467,-5.000417971,-1.954413221,-3.47039831,-2.678145594,-4.216661512,-11.21027578,-4.652957238,-3.866520613,-2.790180637,-4.593917107,-0.472936311,-9.493592991,-6.823125358,-1.246610814,-2.722837005,-3.725112935,-5.611041928,-7.566223971,-7.406490643,0.372339569,-7.502764062,-8.836022173,-7.453729117,-3.902473227,-4.181830837,-1.702098594,-5.030058064,-8.869951935,-0.069205898,-14.16100601,-8.510177439,-3.379656663,-10.93481146,-0.23753042,-8.145327597,-4.922929278,-11.79477274,-5.491853361,-8.456282791,-5.530971582,-9.337281462,-14.51286698,-8.378000269,-6.743363016,4.493476811,-4.748313592,-8.18503926,-6.852366798,-5.046129248,-0.911463176,-7.034789302
4337,2,8.50547303,4.808139136,6.188370475,1.821609885,2.463520819,8.909199738,4.585863845,5.195672062,-3.364879551,7.750528448,2.453066144,-0.189467264,-4.123409213,3.401978879,2.100380478,1.912797489,1.234251255,3.138132187,8.321184584,4.430238561,4.75160642,0.139716213,4.715876592,-0.472936311,5.416200708,6.948335008,-0.359213965,5.164656347,6.265555329,6.864334815,7.373000381,2.654936625,3.175425229,5.471602627,4.862104859,7.845637573,4.49495404,3.186309893,7.131841086,2.444166288,4.429883024,3.742987106,5.183218343,7.287949594,3.969283017,3.822055233,5.856409259,6.538896755,6.204628408,2.744166936,6.962086319,1.652427285,4.359351341,7.494178904,7.661926718,7.395864611,6.166430683,1.225818591,7.685626088,8.276762657,9.671572881,7.617810431,2.99038822,3.760004397
4647,1,-1.415987336,-4.05332123,-2.356423224,-2.968252581,-5.58627288,-14.07059396,-5.406533004,-3.939121637,-3.364879551,-7.360931918,-3.793810075,0.604438032,-3.882974783,-5.000417971,-1.954413221,-3.47039831,-2.678145594,-4.216661512,-11.21027578,-1.009189475,-3.866520613,-2.790180637,-4.593917107,-0.472936311,-9.493592991,-6.823125358,-1.246610814,-5.306917955,-6.845539945,-6.004225505,-7.604692221,-5.304553785,-5.348065182,-1.872539427,-8.836022173,-10.0838303,-5.619318343,-5.435366545,-14.79295261,-4.586425218,-8.217691278,-4.339367798,-13.19114093,-8.510177439,-7.20018486,-8.272086822,-9.327732795,-12.91901306,-7.783064195,-11.63997512,-7.317381558,-7.632582487,-4.259228463,-9.337281462,-8.381563693,-7.910915233,-5.957711372,-5.806942779,-17.93916761,-13.28229101,-9.101644995,-13.73633162,-3.981706027,-7.034789302
4750,1,-0.865168514,-4.05332123,-2.356423224,-2.968252581,-0.690658763,4.635634273,-5.406533004,-3.939121637,6.385734565,5.976962982,-3.793810075,-1.828920319,-4.123409213,-5.000417971,-1.954413221,-3.47039831,-2.678145594,-4.216661512,-0.576123626,-4.652957238,-3.866520613,-0.619873579,-4.593917107,-0.472936311,-2.752978874,-0.57604928,-1.246610814,-1.712932966,-6.845539945,-5.727788562,-5.056179201,2.995371159,-0.508140237,-3.740076955,-4.058946095,-0.508234952,-0.690857072,0.13292926,-2.622338497,-1.809808588,0.894539358,4.604847827,-4.290756534,-6.956434694,-5.745203624,-10.81712435,-3.687770323,-9.713820866,-8.44975588,-15.33562676,-9.394593264,-2.795953348,1.31073937,-0.23646264,-11.95163875,-7.922354527,-6.4527489,0.024903575,5.807060622,6.135553738,-0.318549643,-4.016369151,5.924494587,-1.633561069
4983,1,-1.415987336,-4.05332123,-2.356423224,-2.968252581,-5.58627288,-14.07059396,-5.406533004,-3.939121637,-3.364879551,-7.360931918,-3.793810075,1.777918647,1.770505832,-5.000417971,-1.954413221,-3.47039831,-2.678145594,-4.216661512,-6.746360737,-4.652957238,-3.866520613,-2.790180637,-4.593917107,-0.472936311,-9.493592991,-6.823125358,-1.246610814,-0.860829586,5.730332621,3.666212632,1.037412582,2.083539032,9.022376662,2.927681494,-8.836022173,2.927152723,2.333207421,6.023478565,12.95379252,5.910536011,9.837444171,7.477157966,8.980169776,-8.510177439,6.668298167,7.631070383,0.882488126,1.073599811,1.73099813,-0.924754197,4.388601469,2.412638435,5.685495917,-9.337281462,11.86887815,8.431573677,-2.62249045,6.053495358,8.642577521,2.701669921,6.091838032,-8.086110702,8.952908106,-7.034789302
5030,2,-1.415987336,4.540595154,-2.356423224,-2.968252581,1.059601697,8.215280616,8.274341572,-2.456184348,5.493057737,9.911609326,-0.077460245,1.152628462,7.112465364,11.29045661,0.741461356,0.910184741,3.289791694,5.334213064,9.895598795,0.649000954,4.986020631,2.689225296,6.156957469,-0.472936311,5.212281586,10.70608255,0.411326474,10.37869596,6.885334632,8.696214642,8.640747926,5.648017503,6.216506106,6.930183505,8.863185737,8.56171845,5.728034918,5.292898195,9.777921963,8.195247166,8.122747726,6.114810548,6.550965887,10.6923638,6.23139525,9.13063611,7.837490137,6.7766443,4.035709285,9.040247814,9.335667196,8.434307112,6.160123396,7.875259781,11.2130076,9.388219649,8.91251156,5.881539176,10.51170697,7.415735447,5.501185115,7.878891309,6.892211662,5.431085275
5098,1,-1.415987336,-4.05332123,-2.356423224,-2.968252581,-5.58627288,-14.07059396,-5.406533004,-3.939121637,-3.364879551,-7.360931918,-3.793810075,-2.979332266,-4.123409213,-5.000417971,-1.954413221,-3.47039831,-2.678145594,-4.216661512,-11.21027578,-2.554625173,-3.866520613,-2.790180637,-4.593917107,-0.472936311,-9.493592991,-6.823125358,-1.246610814,-2.174179373,2.159458153,1.167004197,-2.294295219,-2.419860116,1.655627727,-0.295692973,-8.836022173,-3.790408979,-1.23484194,1.902312609,5.727043584,1.816036721,4.315045783,2.919108605,1.690087507,-8.510177439,2.803236466,2.558508682,4.701611757,-6.230899479,1.519832173,-2.670630566,0.163539768,-1.682402699,2.54878224,-9.337281462,4.972129216,2.589610152,1.899135082,3.02012089,0.645828586,-1.388054334,-0.50072367,-14.73698327,3.143508958,-7.034789302
