,K1,K14,K15,K2,K3,K4,K5,K7,LANA,Orf10,Orf11,Orf16,Orf17,Orf18,Orf20,Orf21,Orf22,Orf23,Orf24,Orf25,Orf26,Orf27,Orf29,Orf30,Orf32,Orf34,Orf36,Orf37,Orf39,Orf4,Orf40,Orf42,Orf43,Orf44,Orf45,Orf46,Orf47,Orf48,Orf49,Orf50,Orf52,Orf54,Orf55,Orf56,Orf57,Orf58,Orf59,Orf6,Orf60,Orf61,Orf62,Orf63,Orf65,Orf66,Orf67,Orf68,Orf69,Orf7,Orf70,Orf8,Orf9,vIRF1,vIRF2,vIRF4
Orf11,0.42115636913305304,0.7611186169824211,0.32182691056090534,0.7668617409476737,0.6175408188675106,0.6165893178474259,0.6598905459892529,0.7888842935184248,0.7108202762219511,0.7751153023659201,1.0,0.6275180415731852,0.7054284855186012,0.3242096837431894,0.6333875448140338,0.26194984437512037,0.5249920666236876,0.7120184614834764,0.5118916146260187,0.6384771096406652,0.6193392459146614,0.7571161855701997,0.6187841636540787,0.6307261910108312,0.7076693917009497,0.675233844204667,0.28114149886673784,0.7764500021824934,0.5419084723886609,0.6877704460741797,0.576479371924118,0.6435451552257951,0.5772046677722628,0.6793574278429731,0.631100630067991,0.5038745422712451,0.6068541357498946,0.6448755383112627,0.5991920118899414,0.510227309548029,0.43264534641474034,0.33014904888940105,0.3557893806667377,0.2874083833722658,0.5199677352616274,0.7572714906944373,0.6336927742829797,0.8148427515091615,0.6467894972943059,0.6850884913907613,0.6217366158260851,0.3343322396193564,0.3649779633703303,0.5505920905744867,0.5724175078091877,0.09267785418788915,0.6259371392568747,0.7368912500084596,0.5119036789331415,0.7525969238455084,0.7444404588038704,0.5759478202376278,0.39363311525381633,0.6470184292746516
Orf16,0.1882086415294279,0.6433746990467197,0.2471167907587834,0.6357894029334026,0.6739916344556445,0.6255602256722211,0.5019440338682866,0.6914005028689513,0.5446784963474391,0.7456144758215026,0.6275180415731852,1.0,0.8117935468196142,0.3390439671101268,0.8122357982076058,0.1199657479722223,0.702164215949747,0.8535488949265366,0.7704832762273329,0.7524739803306646,0.5281914916224782,0.6371716003646216,0.7665589375921373,0.7288699792535728,0.678501459035885,0.7864302084224922,0.2118533896406067,0.6427738951960688,0.608438244624015,0.7053092748499972,0.7260351243229197,0.7869568825600761,0.7321140234802234,0.8103370499857736,0.642740806276382,0.3497982192495713,0.6199419879347787,0.6266901727257025,0.4997012857956368,0.6037900545967118,0.4832551767771562,0.5581633154958773,0.34863702503888666,0.4456384613176917,0.4736568756613202,0.6278606205495934,0.518334939028067,0.6870377371745097,0.5468345913807179,0.6544051501390761,0.6836204935888519,0.3766859606458936,0.5857132392177894,0.5882338103306818,0.6755137125474235,0.12359577155957863,0.5363369144976962,0.7294437247436729,0.5103245822841148,0.6685721740904329,0.6527682145788488,0.6585713073823221,0.4275129221346151,0.6654202321475685
Orf17,0.4160183524318309,0.5929030444436963,0.13223569113334438,0.6544587415871854,0.6967554985575465,0.6985263298362955,0.636078740940741,0.719577048106454,0.5104227678369051,0.787136924788184,0.7054284855186012,0.8117935468196142,1.0,0.2060427930074467,0.7352288869026963,0.3066940384942863,0.5376315868930894,0.7635554674380989,0.7194840343136891,0.7386962524756969,0.588298159349284,0.6518177663955846,0.722870204019355,0.7336605286821092,0.7396864597532034,0.8350050479233543,0.43559189612920063,0.7355277830464207,0.6085665924732604,0.5899739867187143,0.5271273428096875,0.6882965502705013,0.6550935951077442,0.6862105772375361,0.5964926629251079,0.31470369807746007,0.5461556876517214,0.557163808441212,0.39755512200670856,0.524100239486226,0.35515847776048104,0.28495995352503245,0.20470625107987142,0.2078619829354365,0.4473816626120443,0.6770113225174114,0.5229480302215873,0.7330002335107151,0.5131634044022796,0.5588334434707359,0.510342700507079,0.11370463304232177,0.403629374730601,0.39947777517253824,0.5416874266068386,-0.1180196133507852,0.4693888908814854,0.693960334686106,0.6153583885837894,0.610398831481369,0.6626299934228757,0.5030281940430981,0.22701976343287217,0.5754997955533327
Orf18,0.2838725548395561,0.29927292533626926,0.027136842055195416,0.21767387861714899,0.3446349748007601,0.30777429308009785,0.30386600734590447,0.3945360178192814,0.25734342410862615,0.41020623675543916,0.3242096837431894,0.3390439671101268,0.2060427930074467,1.0,0.5404402533081686,0.035981745088040966,0.40578540362863824,0.5412543158003917,0.30659206530243016,0.44800898352758867,0.25394069984361756,0.47306676367980016,0.07765117871693492,0.522609609631989,0.2310859021133015,0.3348174068316586,0.0149648547526596,0.17759018846248392,0.028823759942039177,0.36748991788681473,0.21653587987168169,0.2242211144821217,0.3224804546574647,0.2989913827193838,0.27498940467393074,0.31828043990763316,0.40917320283596115,0.3136920172860893,0.43981236916529626,0.15772356233543033,0.30565857082031656,0.22911932047401848,0.2212046578478211,0.2747869724570491,0.23493676383061218,0.2922647663924646,0.21522123764254886,0.4028437432932133,0.11455548638638258,0.17615490216866964,0.40656617460293276,0.26589387546641535,0.1424772070673592,0.23885760959694272,0.2637511464340405,0.016524827412127418,0.12070683787062851,0.39698166585882005,0.15933254310890332,0.32515366286161923,0.40252751735261855,0.26315642273534623,0.27909228371170147,0.2748523279293114
Orf20,0.2991563185818884,0.561685369146246,0.11084314729381158,0.5791728806557603,0.6935699335854499,0.7582864401729505,0.544488709361078,0.7038494188067611,0.4587028007875142,0.8027889666509566,0.6333875448140338,0.8122357982076058,0.7352288869026963,0.5404402533081686,1.0,0.08199789833388063,0.6836014556590739,0.8573964521615196,0.7280856391125515,0.8516422842229502,0.511949254284697,0.7862068146754694,0.6280049049836703,0.706025676729905,0.5770101068312816,0.713916133787368,0.1513226603313674,0.5515377794862136,0.5493500739402969,0.7028753599073513,0.6280773490170809,0.627400644597501,0.7153324456413959,0.7048118115607966,0.5791903897409875,0.3896813160140595,0.6362697028509101,0.6317907455919967,0.6603000657429609,0.5171787085571733,0.5241974297819761,0.4101158058577445,0.3670122559519197,0.35453033346117857,0.43291720299674324,0.6893944649818756,0.5943948165097301,0.7701817766348136,0.5220407311468489,0.5502097555826246,0.677530711014791,0.3624142703957761,0.48764364593371606,0.5740518719406272,0.6145203375780551,0.028668286268815363,0.4304190543328911,0.7373058495783217,0.5684268466389243,0.7054159313614229,0.7200006570041817,0.5562452207277644,0.3720917537088577,0.6505894768582016
Orf21,0.06725239829591995,0.04705301689356348,-0.06733734439426921,0.28132433451140904,0.2849538718231928,0.19241768404191112,0.3505147399768821,0.1327556774120563,0.15019820427374458,0.15699172151366067,0.26194984437512037,0.1199657479722223,0.3066940384942863,0.035981745088040966,0.08199789833388063,1.0,0.3870704650247095,0.08403361345946443,0.34491636412004645,0.2682398330859549,0.37706321149332706,0.1948809931533815,0.346108728163004,0.2714025082035345,0.5484429650663315,0.3142878292143799,0.15924635134127707,0.2709505734702083,0.2908731352794657,0.027957149630950376,0.2370868536502879,0.20452326231858264,0.08353037677325673,0.26644348384373784,0.07894532476443249,0.19372831932856516,0.09536350192224924,-0.04654759767006608,0.003375963718570738,-0.046421509358525424,0.13486964407556354,-0.03598249449687393,-0.11083670349081853,-0.10471082170512239,0.05300268926870947,0.21643587754793164,0.2136543484710892,0.10000454785287491,0.11809786869047632,0.18484589035933388,0.14140749025123953,0.04009562422257332,0.1604541430796833,0.08627366128680845,0.18488084278158995,-0.10107360201787514,0.05554159281241713,0.09254390412308634,0.2918804730898425,0.03975314445320735,0.11530320662190749,0.1220792227388137,-0.014799585499305233,0.15588984802251957
Orf22,0.06413261028741932,0.4208346744103842,0.23117351255223667,0.5980256599321417,0.6784377355437616,0.7229587498688038,0.40855418547076355,0.5503173555328184,0.45518372310064353,0.6216378715712149,0.5249920666236876,0.702164215949747,0.5376315868930894,0.40578540362863824,0.6836014556590739,0.3870704650247095,1.0,0.6636116473163811,0.6125813021252727,0.7531848824256436,0.605384432756578,0.6028558485440141,0.5335921025581839,0.6366890129964358,0.6460356756456271,0.6584042036614012,0.12997358160885406,0.5347016509881166,0.4826156147773262,0.5158084840672121,0.5173308912607669,0.6309363722952979,0.5575963893471008,0.7102046320104557,0.496539695818531,0.3435027999683708,0.6057332697888141,0.5956498795861539,0.6192423850595481,0.45667387746382065,0.6090715953344904,0.5065141833912178,0.3211718344743384,0.49237329730820895,0.4365511025084084,0.6114047437481435,0.6159533137486747,0.6029564873511768,0.47729854830350704,0.6093025234161086,0.7281212015911891,0.4330878594960716,0.590170683231665,0.6327561647528309,0.6105778178007244,0.21280355567429018,0.46064633181908926,0.5507088411557557,0.5951028163562182,0.5498964744203892,0.5910419686983828,0.6203667337804235,0.43335435325676414,0.7028413210449909
Orf23,0.3832151123515093,0.6526204295009209,0.27457922066174234,0.6445707612633786,0.6868963865330484,0.6542868778557909,0.50797036794387,0.7217430502349019,0.5606163164645609,0.8515608233052648,0.7120184614834764,0.8535488949265366,0.7635554674380989,0.5412543158003917,0.8573964521615196,0.08403361345946443,0.6636116473163811,1.0,0.6484811066298746,0.7792498826545736,0.578762248458149,0.7806129954230244,0.6149663950886572,0.7532628505458059,0.640412764797158,0.8185928229666962,0.21966413124567097,0.6605470040494338,0.5561516946958047,0.7250157156037248,0.6366285024987882,0.7810733620868734,0.8232426625124625,0.7458510875326418,0.6702518541551241,0.47443344388781855,0.7509070005247043,0.7209293136529951,0.7026707763771698,0.6177683205708108,0.5436149539175255,0.5243145937123331,0.44879248871508226,0.449442685287863,0.5122519326018609,0.7270513352324135,0.6011429049223873,0.8091929602394697,0.5492658695356698,0.6860032073866348,0.6787396578329582,0.3969507668599654,0.5012227347000218,0.5881866030473356,0.6381157470408558,0.11435502786156872,0.5190217606566362,0.8501044770592695,0.5200362398809693,0.7494537839227537,0.7718927651688602,0.647049971881065,0.48022675300965667,0.7023752227847598
Orf24,0.08251111760613784,0.4806276901385003,0.09821118174852156,0.47758955083845883,0.7061208477709411,0.5453104903540602,0.5235926705328269,0.5474562615739812,0.35653160070586665,0.6185624412708001,0.5118916146260187,0.7704832762273329,0.7194840343136891,0.30659206530243016,0.7280856391125515,0.34491636412004645,0.6125813021252727,0.6484811066298746,1.0,0.8553317273334382,0.40577589160192723,0.5910213173736235,0.7500852856715117,0.7291156409202262,0.7199932664978118,0.6322970568130806,0.15520365987779408,0.5652478211676607,0.6475550918334876,0.5099234065627624,0.6540612238030453,0.6476900865979104,0.642482066878718,0.6775125095733117,0.506371834799353,0.29113497179117054,0.4581047709312277,0.45820757809235685,0.3953187334633448,0.43361401809713407,0.3876237641561539,0.4090578795558191,0.19243065939491022,0.28805251281102184,0.3771338493417102,0.4718222430384491,0.3705460609980669,0.535479584261202,0.39830576724584466,0.5240301523739788,0.5673397753340301,0.33140806046090765,0.4859642021110425,0.45650557711865297,0.5604498777312118,0.0767681199268746,0.34660965994905285,0.5906391120276215,0.5807335380262173,0.41155547013707294,0.48906906522773474,0.504658644806121,0.3320658010706141,0.493908904712002
Orf25,0.22757832515116413,0.5726003828177736,0.13190932238321323,0.615387630894211,0.7997971423501337,0.7711380501176275,0.5438183790831254,0.6354236508287155,0.46943968466864094,0.7854051702573615,0.6384771096406652,0.7524739803306646,0.7386962524756969,0.44800898352758867,0.8516422842229502,0.2682398330859549,0.7531848824256436,0.7792498826545736,0.8553317273334382,1.0,0.47885290082508464,0.7382829313805669,0.6877186378972051,0.8355893200056678,0.7090537686701072,0.764103316084966,0.2775892620834102,0.6284262847174241,0.5992626716511417,0.5685067227830836,0.5963316917099973,0.6408920414905115,0.7169942828742341,0.7047307282875952,0.5360719265237162,0.3374295904612727,0.6457787686008579,0.6208435304982642,0.6049448859633892,0.524623870332407,0.5114444945897176,0.3867195374610077,0.2722942385717765,0.32498742326403257,0.46079150917563355,0.6471435911062446,0.5669307582275974,0.7237099774948128,0.4908914563085187,0.6238068906929515,0.6567526651404604,0.37356262387918854,0.47891936442956057,0.5627729564334217,0.6968096262522927,0.05228871338308747,0.441717820103452,0.7029267076203874,0.7357710779029092,0.6143163554690059,0.6813535996547981,0.5637119634930465,0.3234593973794239,0.6597534738692947
