"","K1","K3","Orf70","K4","K5","K7","Orf16","Orf17","Orf18","Orf4","Orf20","Orf21","Orf22","Orf23","Orf24","Orf25","Orf26","Orf27","Orf6","Orf29","Orf30","Orf32","Orf34","Orf36","Orf37","Orf7","Orf39","Orf40","Orf42","Orf43","Orf44","Orf45","Orf46","Orf47","Orf8","Orf48","Orf49","Orf50","Orf52","Orf54","Orf55","Orf56","Orf57","Orf9","vIRF1","vIRF4","vIRF2","Orf58","Orf59","Orf60","Orf61","Orf62","Orf63","Orf10","Orf65","Orf66","Orf67","Orf68","Orf69","LANA","K14","Orf11","K15","K2"
"Orf20",0.291659853082036,0.686866904970049,0.563123291820376,0.754171768139786,0.531473519805994,0.697086441671546,0.809023736883242,0.729228727084817,0.531719105946585,0.695133324745976,1,0.100758814852379,0.701248901964222,0.854667418946636,0.723671131210921,0.848846563764968,0.50098157302716,0.781003333463701,0.765873581530081,0.619653027489854,0.69961268447625,0.567341391554761,0.707252587856628,0.142938713050932,0.538541259396697,0.730623489505576,0.542347086145234,0.630673371277842,0.665587959928988,0.740557717477031,0.716807403407084,0.601268932491516,0.455193801089418,0.659355866288828,0.697714738659678,0.651966748694587,0.685408351001952,0.574891615800561,0.585681143019486,0.458180162683184,0.441901877662503,0.41435225773957,0.487020652370839,0.712856114059112,0.619425010280734,0.691408876133125,0.379403576114111,0.700967453255306,0.610026087091,0.524591379496749,0.57570601269529,0.696963150276507,0.419237703203678,0.798055912577977,0.535052360021522,0.633712474504035,0.612096833660626,0.0741175699693282,0.463418108576709,0.475803643567069,0.603837549043451,0.624363489583308,0.174310240194275,0.56722476890367
"Orf21",0.0772320304547771,0.307493933297034,0.3064142113974,0.209528088121168,0.385043018062522,0.169944056920295,0.136275453522244,0.330567590609766,0.0517988177112113,0.0513760471128976,0.100758814852379,1,0.383294251091974,0.101058901001244,0.36354205219776,0.28796726711417,0.401973834368903,0.219528233509973,0.116862199277094,0.370430804520316,0.293635122484512,0.577096725988886,0.339138592169616,0.169027824539326,0.304363736084007,0.116862797248943,0.307689134170104,0.242396724291636,0.189835356185235,0.0732001615097457,0.265104381971437,0.0691303414768807,0.168471511523997,0.0856488587016201,0.0638627786930332,-0.0561223960484718,-0.00828200972858234,-0.0771656898914377,0.10980577968929,-0.0636239056087442,-0.157788746352472,-0.142940232147056,0.0260098085590135,0.139873405830798,0.0964178122407417,0.139492496135459,-0.0174595795112646,0.214901265608903,0.208870986716746,0.121497592863378,0.174323334751023,0.134436924941562,0.0101023102385176,0.184672671125026,0.140265337094583,0.0605930176351865,0.195163300137901,-0.141162547920882,0.0382255901057041,0.142966768173256,0.0268039728659944,0.287497075844599,-0.115996194472673,0.314283612206736
"Orf22",0.0692832378102989,0.696198489018676,0.604721661296668,0.73713319460915,0.430858050294018,0.587245312891201,0.716411404753866,0.554401419581128,0.417882149067598,0.538120647281322,0.701248901964222,0.383294251091974,1,0.678901594019359,0.625159351894872,0.769215852880094,0.622834166331292,0.623574850494944,0.617142947250969,0.550063372022275,0.653850296904516,0.664481476848927,0.677646785940895,0.134841017812476,0.56110835809383,0.572822421164239,0.493234155296406,0.520383956499365,0.630357363648068,0.55534612250606,0.710099914199895,0.493969468075705,0.340968299411668,0.603813370818757,0.573422496063523,0.59381893396629,0.617389533374437,0.456217169533176,0.614604831634585,0.506448894368487,0.319124999648348,0.495473256905211,0.435426723244368,0.613563020566518,0.626387364922159,0.703733733646965,0.432935521099161,0.611144834744815,0.614646741724624,0.479627040457669,0.607409377722101,0.726984176891469,0.432970139031247,0.647296590594389,0.591470364541023,0.637806287935729,0.617743580707129,0.204295997749784,0.457577674249105,0.45276784982038,0.417442877140696,0.543873912700839,0.224424686273014,0.625199307011269
"Orf23",0.377245551587339,0.680758319908436,0.514298950929797,0.648685384762825,0.495637341610682,0.718070625804056,0.851161767370051,0.758840677798954,0.533289804233672,0.719169205168899,0.854667418946636,0.101058901001244,0.678901594019359,1,0.643020782383068,0.775349252392491,0.570273498631104,0.77613215147737,0.805871495872765,0.607225904048647,0.748457788255534,0.633092836517722,0.814995011606389,0.212737418875273,0.652918205048668,0.847557525492315,0.549717114292091,0.638522657229806,0.819183219109245,0.847240191000445,0.756500317977223,0.691162505495253,0.539564909590201,0.77302132546262,0.744315291334012,0.739895336787248,0.725735802655737,0.67502336446517,0.60132784647923,0.57239333751458,0.523645079805816,0.509296899553052,0.565226359419981,0.767250977765846,0.709426949942621,0.740828876974592,0.48751750295314,0.73729511585447,0.614939880553035,0.551367846725338,0.710968871846801,0.695921574909551,0.450910668472908,0.849413544946926,0.545201187442636,0.643900519053891,0.635784194541474,0.160177837676855,0.550919713668401,0.577013091825693,0.693503042562734,0.705936365889836,0.3452249631794,0.63642183558133
"Orf24",0.0740008795238786,0.701299886116938,0.576167560904498,0.538765675590899,0.51397032560857,0.53911448442316,0.767142044113043,0.714848310230996,0.295986983944536,0.500167260239565,0.723671131210921,0.36354205219776,0.625159351894872,0.643020782383068,1,0.853162260141272,0.395322743713507,0.583548446428344,0.528377176794953,0.746031745346615,0.724711983168414,0.715358808361664,0.625922356319413,0.148346407960239,0.556818923956207,0.582983585352441,0.64296311324843,0.655312529056592,0.679134441157603,0.661253636570391,0.685759238580028,0.522714554174125,0.34124568481977,0.474031161044299,0.399163458809008,0.471919374053083,0.411771664517921,0.478883526358786,0.433864322062287,0.448824094414679,0.244729487506796,0.334986342545512,0.420187223639371,0.478983026371123,0.555852047123233,0.52397267450372,0.337010373443618,0.478366695131007,0.380316676109922,0.398590542779309,0.54380762336465,0.581024579307605,0.377497729145028,0.611599071831071,0.525160860635791,0.502312143925764,0.557260221712555,0.115771428887115,0.371709553697969,0.368690217707748,0.513321551724097,0.502788088039582,0.149340410705387,0.466605834834372
"Orf25",0.219801444963678,0.795969511630834,0.73293537828256,0.767479276971197,0.532771871671688,0.628151204436281,0.748441091655068,0.733541424538787,0.438522204905434,0.558507937345101,0.848846563764968,0.28796726711417,0.769215852880094,0.775349252392491,0.853162260141272,1,0.468432420346741,0.732891751552057,0.718945807890135,0.681558333691209,0.832472593968808,0.703260137411638,0.759408060717716,0.271369978170471,0.619950557770323,0.696606207747818,0.593521567925146,0.597781762697759,0.675637344901513,0.739287232483317,0.714830295403178,0.555005370727544,0.394813665592139,0.666266822073004,0.605529277248632,0.63839418138391,0.626403352802733,0.577782172738275,0.567337410807301,0.429703136691424,0.335047500931987,0.378316526453925,0.51132411939531,0.674478429387456,0.622071089916136,0.696875225880626,0.329229524590584,0.656493622632551,0.580187193586208,0.492400821318874,0.647573455209355,0.673464921357324,0.42602300681003,0.781480754713531,0.52181610427367,0.617050460421916,0.695128424673601,0.0944177610332849,0.471679914031641,0.484586267375458,0.611089280024332,0.63079470501493,0.191119212800672,0.606508969046663
"Orf26",0.230965605875058,0.471417292784364,0.485962924839723,0.54654234074619,0.498706281389998,0.64418545095824,0.519477672960381,0.578608672532579,0.2392065134666,0.373232417301208,0.50098157302716,0.401973834368903,0.622834166331292,0.570273498631104,0.395322743713507,0.468432420346741,1,0.606060076224047,0.616693673409623,0.418477068300617,0.602109564541711,0.6761334236655,0.60338526764301,0.282341710339117,0.473874108211746,0.556919867413721,0.56617631081237,0.375678599911721,0.663235311804824,0.438420852883909,0.706676183382781,0.44577718619639,0.512578937052825,0.434548044832845,0.52099666804273,0.550541074058935,0.478085509066733,0.456636879853443,0.655858002155929,0.27026696091532,0.413300175872042,0.38318507350437,0.523169572026607,0.462991362053302,0.540931552043832,0.546373250361485,0.383745102713582,0.625780177024231,0.573821554893381,0.495818201525437,0.521684568033047,0.645778560297267,0.291738957749468,0.708634028087007,0.55033233986306,0.507468017079996,0.465011055589921,0.144282275761165,0.427506132304225,0.498447293003187,0.361428034459071,0.609555961353632,0.339852766472462,0.670956540923245
"Orf27",0.378786392476321,0.701910463971169,0.702280832657671,0.751299028076138,0.575219204676585,0.790332930944857,0.63013200876538,0.642618723316243,0.461622628129445,0.672190058137784,0.781003333463701,0.219528233509973,0.623574850494944,0.77613215147737,0.583548446428344,0.732891751552057,0.606060076224047,1,0.813465926817571,0.634002186886202,0.758798328424181,0.670139769122332,0.594751685475329,0.326778224984767,0.646342644482164,0.647567385219236,0.675775351525668,0.592571005877079,0.638843655761244,0.748363057646534,0.743146967144107,0.727146855506267,0.571466571692611,0.676782294464872,0.768082762631359,0.640561267942687,0.667503059994359,0.537166765474357,0.616987483489284,0.36450116559413,0.436629769120459,0.403763188464279,0.532029324995601,0.812863676919804,0.611142881868057,0.762968886186277,0.403603349912148,0.770994900140705,0.689642488993868,0.640199239489462,0.675003494744299,0.694347861510285,0.44993344869016,0.869193323716958,0.601594726678145,0.67154127928697,0.591099862546798,0.10363701212799,0.516237337746845,0.523461466884745,0.688188909846693,0.749958018896401,0.284962071070838,0.737199107912357
"Orf6",0.41357803660234,0.663241715923766,0.602291956909805,0.686215204381397,0.658676988524813,0.875529425697357,0.681991620665519,0.727833236305214,0.392721372059605,0.735103566588383,0.765873581530081,0.116862199277094,0.617142947250969,0.805871495872765,0.528377176794953,0.718945807890135,0.616693673409623,0.813465926817571,1,0.615048826443349,0.700606586722575,0.681196785117353,0.708443685362139,0.313598137003043,0.733452999332172,0.822744545135409,0.536251389450884,0.568407191994021,0.661966612326227,0.693726874686773,0.715547074108548,0.762449590365566,0.631313970922472,0.743031526179342,0.811639019684911,0.788976253009681,0.719135131248423,0.74518102207366,0.588512847873455,0.418925454297359,0.554903719942301,0.489806884156346,0.601376206813622,0.89234357567682,0.619210342227525,0.78316520787941,0.257582798797321,0.874860089929443,0.782025950844995,0.695107384072196,0.742607055248408,0.74472539287999,0.46705375432198,0.91189905208456,0.56077145710143,0.694632630175956,0.701266779146075,0.121227094555648,0.717278900531524,0.704872766927829,0.663972511451252,0.811361589205656,0.431298178177282,0.757233228411166
"Orf29",0.203654483141285,0.550041304542446,0.57710384022615,0.516615523257763,0.583204880592999,0.577058518742343,0.762451411056326,0.716352180173218,0.0593864292652409,0.587846034122635,0.619653027489854,0.370430804520316,0.550063372022275,0.607225904048647,0.746031745346615,0.681558333691209,0.418477068300617,0.634002186886202,0.615048826443349,1,0.587906933659199,0.836495607390404,0.578044015855528,0.180628097159195,0.582399040214389,0.592080631681624,0.740472319208192,0.712860691656252,0.695277658676234,0.609356345508184,0.685865533493588,0.586089460793463,0.392074125670672,0.527063590108031,0.617864744422549,0.471848947849638,0.404892611263071,0.485159859554272,0.411659178667772,0.496328886654327,0.232682987310826,0.337916948486603,0.396035794985021,0.657422451317642,0.572210619849299,0.64647953685543,0.292914798255302,0.565124955182318,0.578716707172593,0.548207350738288,0.697853992401708,0.595552906732371,0.431395962219844,0.654913551654016,0.541007125311942,0.540967763920345,0.680808967742368,0.158532512003523,0.565062636117069,0.500055473225335,0.625911461602565,0.608993019355988,0.296624677840708,0.639779748433012
