"WT0h"	"WT0hMBV"	"PKKO0h"	"PKKO0hMBV"	"REV0h"	"REV0hMBV"	"WT24h"	"WT24hMBV20uM"	"WT24hACV50uM"	"PKKO24h"	"PKKO24hMBV20uM"	"PKKO24hACV50uM"	"REV24h"	"REV24hACV50uM"	"WT48h"	"WT48hMBV20uM"	"WT48hACV50uM"	"PKKO48h"	"PKKO48hMBV20uM"	"PKKO48hACV50uM"	"REV48h"	"REV48hMBV20uM"	"REV48hACV50uM"
"BGLF1"	-11.19864695	-11.07368485	-10.22318655	-11.26637429	-10.50827822	-10.78647022	-5.59778872	-5.27647166	-4.6243776	-5.26531684	-5.36904659	-4.81131176	-5.09080129	-4.79268033	-2.98214633	-3.82626807	-3.16713602	-3.66962853	-3.49820579	-3.64353936	-2.81507392	-3.58384153	-3.49088409
"BGLF3"	-11.08864695	-10.41368485	-11.57318655	-11.15637429	-11.29827822	-11.45647022	-7.93778872	-7.95647166	-7.6343776	-7.66531684	-8.57904659	-7.73131176	-7.60080129	-7.08268033	-4.20214633	-5.07626807	-5.69713602	-5.04962853	-4.63820579	-5.73353936	-3.75507392	-5.28384153	-5.65088409
"BGLF4"	-10.44864695	-9.90368485	-10.28318655	-10.55637429	-10.20827822	-10.53647022	-5.77778872	-5.16647166	-5.0143776	-6.08531684	-6.06904659	-6.04131176	-5.22080129	-4.79268033	-2.74214633	-2.91626807	-2.64713602	-4.24962853	-3.27820579	-4.17353936	-2.55507392	-2.69384153	-3.16088409
"BGLF5"	-12.25864695	-12.58368485	-13.24318655	-13.25637429	-13.08827822	-13.40647022	-6.56778872	-6.04647166	-6.0343776	-6.52531684	-6.55904659	-6.48131176	-6.13080129	-5.84268033	-4.01214633	-4.13626807	-4.17713602	-4.78962853	-4.43820579	-4.81353936	-4.34507392	-4.35384153	-5.07088409
"BGRF1"	-8.27864695	-8.43368485	-9.61318655	-9.45637429	-8.53827822	-8.48647022	-7.27778872	-6.97647166	-7.3243776	-7.20531684	-7.08904659	-7.19131176	-7.15080129	-7.02268033	-3.69214633	-4.85626807	-5.03713602	-4.51962853	-4.36820579	-5.50353936	-3.23507392	-4.68384153	-5.13088409
"BHRF1"	-5.72864695	-6.03368485	-6.67318655	-6.56637429	-6.83827822	-6.96647022	-2.45778872	-2.51647166	-2.1443776	-2.63531684	-2.02904659	-2.05131176	-2.22080129	-2.48268033	0.277853669999999	0.593731929999997	0.97286398	-0.539628529999998	0.41179421	0.0464606400000029	0.574926080000001	0.176158470000001	0.959115910000001
"BILF1"	-8.87864695	-8.82368485	-8.23318655	-7.78637429	-9.20827822	-8.91647022	-4.60778872	-5.14647166	-4.0143776	-4.40531684	-4.41904659	-4.05131176	-4.32080129	-3.78268033	-0.53214633	-1.92626807	-2.07713602	-2.60962853	-2.30820579	-2.65353936	-0.0250739200000005	-1.60384153	-2.09088409
"BILF2"	-8.21864695	-8.15368485	-9.54318655	-8.77637429	-8.92827822	-8.75647022	-4.12778872	-3.92647166	-3.6043776	-4.17531684	-4.02904659	-3.80131176	-3.68080129	-3.46268033	-1.53214633	-1.38626807	-1.73713602	-2.72962853	-2.33820579	-2.46353936	-1.16507392	-1.42384153	-1.99088409
"BKRF1"	-8.58864695	-8.05368485	-8.87318655	-8.91637429	-8.48827822	-8.90647022	-6.45778872	-6.40647166	-6.0543776	-6.60531684	-6.11904659	-6.20131176	-7.05080129	-6.76268033	-4.50214633	-4.31626807	-4.68713602	-5.16962853	-4.45820579	-4.70353936	-4.16507392	-3.94384153	-4.78088409
"BKRF3"	-8.17864695	-7.67368485	-9.65318655	-9.55637429	-8.15827822	-8.50647022	-4.13778872	-3.26647166	-3.6743776	-4.10531684	-3.60904659	-3.46131176	-3.63080129	-3.61268033	-0.542146330000001	-1.25626807	-2.16713602	-2.37962853	-1.65820579	-2.66353936	-0.345073920000001	-0.80384153	-2.15088409
"BKRF4"	-6.59864695	-6.65368485	-7.48318655	-7.63637429	-7.02827822	-6.69647022	-2.52778872	-2.13647166	-1.8143776	-2.27531684	-3.38904659	-2.03131176	-2.12080129	-1.98268033	0.657853670000002	-0.396268070000001	-0.447136020000002	-0.919628529999997	-0.648205789999999	-0.943539359999999	0.314926079999999	0.116158469999998	-0.590884089999999
"BLLF1b"	-7.86864695	-7.94368485	-9.26318655	-9.36637429	-8.52827822	-8.47647022	-4.28778872	-4.93647166	-4.9043776	-4.97531684	-5.05904659	-4.79131176	-3.77080129	-5.00268033	0.73785367	-0.806268070000002	-2.55713602	-1.52962853	-1.95820579	-2.69353936	1.08492608	-0.323841529999999	-2.12088409
"BLLF2"	-7.49864695	-7.57368485	-8.28318655	-8.50637429	-8.12827822	-7.69647022	-3.66778872	-4.06647166	-4.3343776	-4.22531684	-4.24904659	-4.04131176	-3.23080129	-4.56268033	1.45785367	-0.126268070000002	-1.66713602	-1.09962853	-1.01820579	-2.07353936	1.73492608	0.44615847	-1.53088409
"BLLF3"	-11.34864695	-10.76368485	-10.16318655	-10.95637429	-11.11827822	-11.43647022	-5.69778872	-5.32647166	-5.4243776	-5.34531684	-5.15904659	-5.04131176	-5.29080129	-5.63268033	-3.33214633	-3.20626807	-3.63713602	-3.86962853	-3.54820579	-3.84353936	-2.91507392	-3.07384153	-3.84088409
"BLRF1"	-8.12864695	-8.45368485	-9.15318655	-8.84637429	-8.50827822	-8.88647022	-5.21778872	-5.08647166	-5.8243776	-5.66531684	-5.22904659	-5.56131176	-4.85080129	-5.79268033	-0.662146329999999	-1.69626807	-2.91713602	-2.77962853	-2.61820579	-3.59353936	-0.275073920000001	-1.28384153	-2.60088409
