"sample"	"orf"	"position"	"B"	"B.1"	"B.2"	"A"	"B.3"	"A.1"	"A.2"	"B.4"	"A.3"	"A.4"	"A.5"	"A.6"	"B.5"	"B.6"	"A.7"	"B.7"	"B.8"	"B.9"	"A.8"	"B.10"	"A.9"	"B.11"	"B.12"	"B.13"	"B.14"	"A.10"	"A.11"	"A.12"	"A.13"	"B.15"	"A.14"	"A.15"	"B.16"	"B.17"	"B.18"	"filename"
"Orf32_52828"	"Orf32"	52828	-27.7448417294299	-33.0560871735095	-29.0895660937467	-24.8753801371542	-33.8239815834671	-19.427748587864	-23.9285001566241	-35.2792121407465	-23.7105039274832	-20.8956440886497	-33.5906402454227	-20.694825109541	-32.2990208304382	-30.3328745436955	-25.0797888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-23.3087080062211	-38.2495863856128	-23.1403871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-20.9466769767589	-23.7277987735901	-25.0562412722704	-34.1089722356459	-27.1206467624545	-21.5384403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf32_53424"	"Orf32"	53424	-36.3648417294299	-33.0560871735095	-29.0895660937467	-21.6853801371542	-19.3639815834671	-33.9077485878639	-21.2785001566241	-35.2792121407465	-24.5905039274832	-35.2456440886497	-33.5906402454227	-20.544825109541	-32.2990208304382	-30.3328745436955	-23.7497888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-23.0487080062211	-38.2495863856128	-22.4903871456049	-22.5895032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-18.4066769767589	-34.2877987735901	-22.0962412722704	-25.5589722356459	-35.8506467624545	-16.1284403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf29_54355"	"Orf29"	54355	-32.1648417294299	-33.0560871735095	-29.0895660937467	-16.9853801371542	-27.5039815834671	-33.9077485878639	-21.5385001566241	-35.2792121407465	-34.9405039274832	-31.3956440886497	-19.2006402454227	-18.264825109541	-32.2990208304382	-30.3328745436955	-16.8197888838898	-19.3432792941089	-34.3133543496637	-31.0828374506603	-35.1187080062211	-23.9795863856128	-26.4803871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-18.1266769767589	-34.2877987735901	-20.1262412722704	-34.1089722356459	-35.8506467624545	-29.7384403494351	-26.787133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf34_55359"	"Orf34"	55359	-36.3648417294299	-33.0560871735095	-29.0895660937467	-33.0953801371542	-33.8239815834671	-33.9077485878639	-26.6285001566241	-35.2792121407465	-20.6405039274832	-35.2456440886497	-33.5906402454227	-27.434825109541	-32.2990208304382	-30.3328745436955	-27.1097888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-25.1187080062211	-38.2495863856128	-23.9603871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-33.4866769767589	-34.2877987735901	-24.1062412722704	-34.1089722356459	-25.6206467624545	-33.9384403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf34_55680"	"Orf34"	55680	-15.2648417294299	-33.0560871735095	-29.0895660937467	-33.0953801371542	-14.7439815834671	-9.79774858786395	-13.0685001566241	-18.0192121407465	-13.2705039274832	-11.7456440886497	-12.8306402454227	-10.894825109541	-32.2990208304382	-30.3328745436955	-14.8197888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-13.9287080062211	-38.2495863856128	-14.0703871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-12.0850557995672	-33.4866769767589	-12.4377987735901	-12.4262412722704	-34.1089722356459	-18.1406467624545	-10.3084403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf36_56488"	"Orf36"	56488	-36.3648417294299	-33.0560871735095	-29.0895660937467	-33.0953801371542	-33.8239815834671	-33.9077485878639	-34.9585001566241	-35.2792121407465	-34.9405039274832	-35.2456440886497	-33.5906402454227	-35.904825109541	-32.2990208304382	-30.3328745436955	-36.5597888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-35.1187080062211	-38.2495863856128	-37.6503871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-33.4866769767589	-34.2877987735901	-35.8762412722704	-34.1089722356459	-35.8506467624545	-33.9384403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf36_56709"	"Orf36"	56709	-29.8648417294299	-33.0560871735095	-29.0895660937467	-30.5653801371542	-33.8239815834671	-20.7777485878639	-27.1585001566241	-35.2792121407465	-25.8205039274832	-21.4556440886497	-31.3506402454227	-31.004825109541	-32.2990208304382	-30.3328745436955	-36.5597888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-35.1187080062211	-38.2495863856128	-27.3403871456049	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-33.4750557995672	-33.4866769767589	-34.2877987735901	-31.6962412722704	-34.1089722356459	-35.8506467624545	-33.9384403494351	-36.297133346855	-35.2883132227255	-27.8230710620219	"dCT.xlsx"
"Orf37_57765"	"Orf37"	57765	-18.8848417294299	-33.0560871735095	-29.0895660937467	-13.4953801371542	-14.6839815834671	-7.76774858786395	-13.4985001566241	-13.1192121407465	-11.8405039274832	-12.7356440886497	-33.5906402454227	-12.574825109541	-32.2990208304382	-30.3328745436955	-15.2097888838898	-35.3732792941089	-34.3133543496637	-31.0828374506603	-14.0687080062211	-38.2495863856128	-14.4003871456049	-34.4395032332402	-15.7285987608949	-32.0012894464075	-33.1925857055385	-11.9650557995672	-14.4166769767589	-14.9777987735901	-12.6362412722704	-34.1089722356459	-17.2306467624545	-10.5884403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
"Orf37_58237"	"Orf37"	58237	-12.7448417294299	-33.0560871735095	-29.0895660937467	-13.5153801371542	-33.8239815834671	-7.46774858786395	-15.4185001566241	-13.7692121407465	-9.43050392748316	-11.9756440886497	-33.5906402454227	-13.224825109541	-15.2790208304382	-30.3328745436955	-15.5197888838898	-35.3732792941089	-16.7933543496637	-31.0828374506603	-17.0687080062211	-38.2495863856128	-14.0503871456049	-14.8395032332402	-12.8285987608949	-32.0012894464075	-33.1925857055385	-12.0550557995672	-33.4866769767589	-19.7077987735901	-12.8462412722704	-14.7289722356459	-16.2806467624545	-9.45844034943506	-36.297133346855	-35.2883132227255	-11.2630710620219	"dCT.xlsx"
"Orf7_8189"	"Orf7"	8189	-36.3648417294299	-33.0560871735095	-7.71956609374669	-33.0953801371542	-33.8239815834671	-33.9077485878639	-8.72850015662407	-9.79921214074652	-8.78050392748316	-7.66564408864973	-7.35064024542272	-7.29482510954101	-32.2990208304382	-30.3328745436955	-7.74978888388981	-35.3732792941089	-34.3133543496637	-31.0828374506603	-4.80870800622109	-38.2495863856128	-8.62038714560492	-34.4395032332402	-33.4885987608949	-32.0012894464075	-33.1925857055385	-5.09505579956724	-33.4866769767589	-7.15779877359008	-7.59624127227039	-9.74897223564588	-7.56064676245451	-10.2484403494351	-36.297133346855	-35.2883132227255	-33.3430710620219	"dCT.xlsx"
