"X629"	"X731"	"X1314"	"X1700"	"X2572"	"X2741"	"X2858"	"X2910"	"X2969"	"X3544"	"X3937"	"X4678"	"X5485"	"X7121"	"X8239"
"Orf32or29_30_31_51996"	-14.7850758177274	-15.1612447448913	0.617422992852656	-15.5435258553192	-15.0051826960095	-14.4900568263094	-14.8904203939548	-15.9060955276099	-14.8951686904636	-15.4180963200812	-14.6851844922253	0.176471685540971	-14.4763379620456	-14.4740163661928	0
"Orf37or34_35_36_57765_2"	-14.6986700128561	-15.5826619105524	-1.99198337703047	-2.78791386928241	-1.9373383238844	-1.43199589454823	-1.3146878512663	-1.80983933832205	-15.2238287569946	-1.06187617335072	-14.8228353986666	-14.2444556427003	-1.66323095292705	-15.2455323456882	0
"Orf36orOrf34or35_56709_2"	-14.276092778912	-13.8388281333185	-14.7980078892691	-14.229779309624	-15.7291129334136	-3.20444416970502	-9.2833198479417	-3.4310416238569	-14.4331415952943	-15.1750258760669	1.03309551485167	-6.31508574533008	-13.5796261237636	-15.3391085736404	0
"Orf20orOrf19_34848"	-14.1831773547363	-14.3294826159728	-15.3229198532432	-14.8563793891086	-15.7428577671772	-15.3216658625188	-14.4759548183717	-16.386836616665	-15.0842796992454	-14.1403599176256	-14.6814934262701	-14.7680542035661	-13.996899503836	-14.5072469417588	0
"Orf24_41283"	-14.1771095819007	-13.8107142192838	-13.61624894751	-13.2643168578177	-1.33524652788894	-13.6771248612904	-13.8516990600616	-15.132879794598	-13.9448821462006	-13.9167149818316	-13.4943431414281	-13.2386946564233	-13.1107093433498	-12.7982298323	0
"Orf68orOrf69_116922"	-14.0043174855663	-14.7979195272174	0.0520668273633049	-0.709186066094048	1.30957260037496	0.614100862623175	-15.3662430177173	-16.3995885427374	-0.153846406051361	0.62362955164344	-15.0614508508917	-14.5138995317159	-14.239417896165	-14.3459686168698	0
"ORF6or4_5859"	-13.5907130556773	-13.9064640833687	-14.0043600339562	-13.8174014560666	0.875159865632117	-13.3889721238259	-13.8608869329981	-14.6978341843737	-14.0865375065095	-13.9755225182567	-13.4535736885067	-13.9914052311568	-13.5628800247074	-13.045315904303	0
"K14_128651"	-13.3412337232661	-13.2626825655518	-14.8733862918773	-13.6600250137152	-13.3967651389948	-13.8327015921916	-14.7195745053688	-13.7944175859322	-13.6637458811859	-13.0693166438684	-13.9946258456519	-13.5768724825076	-13.1784135077464	-13.8010324365849	0
"Orf73_LANA_124002_2"	-12.7331380598093	0.121424732333242	1.19611458920108	0.78133172463178	1.64701538209844	5.77346641305376	2.38101066782625	1.78430363390096	1.62925466145253	0.708055909333968	-13.5742799826239	-12.6059746472368	-13.9975814350553	-12.9726849279343	0
"Orf52_77022"	-11.4392984676403	-11.8175692662534	-3.8501551611816	-11.7451185505195	-13.082646976097	-1.90593941491324	-12.4316915891287	-2.12865915243935	-12.4930166301553	-2.13829959214242	-12.4995143230272	-1.55895987554738	-0.453743305181749	-11.3279204447497	0
"Orf63_103119"	-10.9697069753186	-10.8196514126964	-11.7196210401681	-1.56305277595407	-11.0391401942235	-11.3488420904859	-10.9114462410754	-11.3636456291465	-11.3210683121235	-11.2024495919902	-10.4861633866626	-10.1521986499644	-10.8499970164638	-10.4993474959445	0
"ORF17orOrf17.5_31509"	-9.44219879972048	-10.7681173481965	-2.25735199254079	-9.92050202770495	-10.5976817922879	-0.950098099073506	-2.4381554705946	-11.1986168642806	-10.8465103277319	-1.09332061857214	-10.3166187789905	-9.3939722639832	-1.19282907266474	-9.90749031426274	0
"Orf27or26or25_48071"	-8.38524077643702	-8.61597504615777	-9.25176946290756	-0.433013217792237	-8.02569089614524	-8.44703375188669	-8.30630742915645	-8.8748711861094	-8.14590805487127	1.09371836693518	-8.73910688852819	-8.03770266930856	-8.28121925398075	-8.02811308034267	0
"Orf10or4_6_7_8_9_15008"	-7.96375555963113	-8.37367470488968	-7.88139141485506	-6.95337270068445	4.99650396517053	4.41710822589701	3.57656788336566	-8.4197786398477	-7.67631652224752	6.70368927815604	-7.37696939336258	4.68742384531364	-7.5198230672818	-7.86919760675505	0
