"eff.sorted._1."	"X629"	"X731"	"X1314"	"X1700"	"X2572"	"X2741"	"X2858"	"X2910"	"X2969"	"X3544"	"X3937"	"X4428"	"X4678"	"X5485"	"X7121"	"X8239"	"filename"
"Orf29_54355"	39.3507949523689	39.3635089396012	32.0883661169812	39.7714025118027	27.4744729241842	38.6749681882711	37.2036877956645	37.3085653529461	28.1289695304933	37.6709726804076	32.8504144182688	38.9311374175374	31.7538738115898	39.7577249027059	35.4626234639378	39.2012771370802	"a.xlsx"
"Orf30orOrf29_50891"	49.2694910080181	31.6228474250719	49.2915995287121	48.5099575636868	49.6702106163626	48.4623763272927	49.7380833459705	31.7830983410774	32.4864218057679	49.0793798463782	48.5079412369408	49.3293581366372	48.2139313309657	48.693987249413	31.9522520857498	31.2222201350583	"a.xlsx"
"Orf30orOrf29or31_50984"	42.4572638486537	42.6576468123657	42.2971051873073	42.0571532140594	41.7399964831793	28.522919144258	27.9447518643069	42.3027709775904	42.0494822649716	42.6005723412572	42.4611197373022	42.0994326788014	43.1359416591016	42.7757357467719	42.9605587312446	41.9846625972108	"a.xlsx"
"Orf30orOrf29or31_51123"	49.312328408481	49.253690136192	49.6167815185453	48.5164854994402	48.5777445609929	48.5580957234116	49.1094924909472	49.8069147589538	49.1063770148847	49.2038786406993	48.7633673950624	49.7266994761443	48.77091179202	48.781934053761	48.5154063489933	32.9493688964502	"a.xlsx"
"Orf32or29_30_31_51996"	45.5641913650538	45.4776476228065	29.3539569293881	46.3445625387993	45.1294989937005	44.998741618193	45.0476392304391	45.5454802641991	44.9491423114886	46.3649486716805	45.2449156362231	45.962166499056	30.6312978073553	45.4493878226258	45.3313998470532	30.1336325302252	"a.xlsx"
"Orf32or29_30_31_52828"	49.3549311099375	48.7990665153311	49.4892465210442	48.102133330377	31.1777059917235	48.4711739063199	48.7971449618353	32.2371426030927	48.9513870099127	30.6257306143715	48.3421181780241	49.8243515005891	48.4495003884018	31.8276124844122	48.5288218979316	29.7710590623425	"a.xlsx"
"Orf33or29_30_31_32_53424"	45.4742763349153	46.3709207831349	30.6064145434988	30.2995209559352	45.6722046763617	31.1123742419143	30.5234703306438	45.6674738206962	45.2994641600207	32.2404155367425	32.033055004605	45.4087713850239	45.5803378588258	45.6471172358778	45.7332472581245	28.4000984815555	"a.xlsx"
"Orf34_55359"	48.4149152988638	48.6753659665216	48.9826433821243	48.2100099373542	49.4222260077779	48.7585026758311	49.4645265356009	48.7053341656894	48.9496406621026	49.8016135581745	49.6833868214493	48.4304826876183	49.3672742402209	48.8519374979281	49.002732641744	48.0772565416074	"a.xlsx"
"Orf37or34_35_36_57765"	33.8129432771462	49.42748569432	31.6851672257407	49.753735408629	32.7089925224421	48.8404573769087	48.8201690837627	43.1493460963618	48.7960405549387	32.9404660677833	48.206270690993	48.8759556656599	49.2952437124531	48.1248149364236	48.8644831142789	32.5309359491027	"a.xlsx"
"Orf37or34_35_36_58237"	31.1242890197217	48.6253768492278	30.8215928450448	49.1113580476081	30.3230344396945	33.1452311271235	31.9789605717507	30.6969532437072	48.1884405275649	30.0025326076837	48.9201706217595	49.4452829711326	48.8551137014868	29.7532534050086	49.2391739645544	29.0054157969832	"a.xlsx"
"Orf39_60036"	48.1117828459109	48.8151823204345	49.4508879549073	49.4632557658023	33.1363282984566	34.151250766491	48.8490221933873	48.4432240893374	49.7552714984228	49.0403588558256	49.6280131660468	49.4642558531392	48.3343380174439	49.6882872749793	48.3703346142651	29.343723286328	"a.xlsx"
"ORF4_2109"	49.444721998694	48.1479404340472	48.7861890674044	48.1910389855867	48.3963838566655	48.5798323625547	49.3444464276786	49.1003747260376	48.6610139692696	49.5718171732108	49.4794145261892	48.4468339163968	49.5317202331083	49.7455397590952	49.4276125196557	49.3234928072959	"a.xlsx"
"ORF4_2360"	49.6802104966851	49.8694472422563	49.8253095859036	48.7457682479043	48.5292406969961	48.7261421378092	50.2067885215048	49.1584709921705	49.6213013568588	49.0527803828055	49.5853180448832	49.2634373643427	48.969961813628	48.724612990698	49.4512653350713	49.4415326305812	"a.xlsx"
"ORF4_2545"	49.0237946851029	48.4725930396232	49.09672929444	48.7285914448363	49.790497043469	49.3581079535927	49.4800500789894	49.3983841430993	48.8390196049408	48.0900315500506	48.467279670792	48.9583951714248	49.2726967563414	48.183582820375	48.553109744865	48.7708719804228	"a.xlsx"
"Orf40_60631"	42.571218246263	42.291746642437	42.8386224219642	42.3998005733548	42.9678853716244	43.0577317950732	42.4573328117694	27.4822180403459	42.3214513902778	41.8313205784384	42.2438139723907	41.8355931895792	42.0418062723062	42.8862234942811	41.8582736830288	25.3776891413236	"a.xlsx"
"Orf40_61476"	47.1887811858157	47.1695465398391	47.7802532302774	46.6805280423524	47.7003148631024	47.4607860154655	46.9337704320514	47.0553919784829	47.3662283263735	46.303027710041	47.556054603963	46.7182037899931	46.5897320608992	47.9534302674002	47.3200020426947	29.9375709009109	"a.xlsx"
"Orf40_62028"	45.8495683169399	45.2159294284623	29.8267389426617	45.0764654131655	45.4609027786381	45.5210039814134	29.8350333639472	45.1120310709468	44.8689245896422	45.4708166110185	45.2376202117128	46.1132307461625	45.0374586833593	45.9059496510461	45.2824366282353	27.8360778341414	"a.xlsx"
"Orf40_62161"	46.4291873100671	44.8460984442289	45.9733158863364	45.8462729323684	46.0075256799901	46.1877538909698	45.3056339772227	45.8362387447978	30.9630746587753	45.190472564194	45.623001941801	45.0323783060372	46.1422972800667	44.9429512615652	46.3376118025497	30.5898257009278	"a.xlsx"
"Orf42orOrf43_62906"	29.3786067185858	42.0852363127859	30.4115989254319	42.2673322025541	29.3786067185858	42.4871879450937	30.6659925286104	41.853456499263	41.7639555091862	43.030028753789	42.8220345892553	41.6553409700821	29.2629732625955	41.6959306392587	42.8017391024121	27.4590913491479	"a.xlsx"
"ORF6or4_5672"	49.2277256576572	48.6566040767351	49.4236047088723	33.1986480991253	48.6791755438993	33.4301216444665	48.3913034419144	32.3528793757633	49.6487483854241	37.3651719152666	49.0268169537471	49.1604012652152	49.3521903942019	49.0831799798453	49.4824291153338	48.1620428674614	"a.xlsx"
"ORF6or4_5859"	42.7799466443049	42.6329850025852	42.3858579974983	43.028556180848	27.6592744733602	42.3077749570108	42.4282238107838	42.7473369622642	42.5506291688358	43.3324929111573	42.4234228738058	41.9249966228249	43.2092927653543	42.9460479265888	42.3128174264647	28.5437505715265	"a.xlsx"
"ORF6or4_5921"	35.1033461094327	35.5145949610888	35.3917598474187	35.275049292412	23.008833522084	34.4819740905921	22.2541336353343	35.2510582755237	34.3618690150783	35.0246599934668	35.5087099862652	35.4215200597661	34.3084162863507	35.5138991984076	35.128050150639	34.5458828624961	"a.xlsx"
"Orf7or6or4_8189"	48.3687831281608	37.0446700832557	48.8868514171387	49.6296856544329	31.613944596405	48.7668237059231	48.3637037427875	49.6541071812068	45.959896098438	48.4466657915712	49.6533956770609	49.5934424405393	49.090325913421	49.0308086476968	49.7932108643732	48.2711148003257	"a.xlsx"
"Orf7or6or4_8314"	48.8611321797175	48.2919192964672	49.3465426997401	49.0609954675924	49.6740386437754	48.3769825793039	48.6036221435271	49.551462190219	48.1442199789124	48.2731681656084	48.9367466292924	49.2004714642919	49.5571583927184	49.6464432491316	49.2845505345162	49.4788923044625	"a.xlsx"
"ORF70_20979"	42.3417931764452	41.7632633709581	28.4766657618619	42.3514554520121	42.7038273149294	30.0261540721311	42.1701438981469	42.6680859790844	42.2944556039543	28.4458301735979	41.9479110281101	41.8843621983097	42.2920838477775	41.7213997479311	41.8208554951258	42.7614213402206	"a.xlsx"
"ORF71_vFLIP_122381"	31.2790046986798	29.3509697186866	28.552852913015	34.9646901720621	31.296939907796	29.0191683500366	29.4765161825001	28.3376304036204	28.4362740537596	28.6783993768285	29.9069612012893	49.0509229595709	30.7678512388676	30.4539850793339	32.1129919225838	27.3332586931124	"a.xlsx"
"ORF71_vFLIP_122443"	31.8276124844122	29.3259176289941	27.3138783502592	29.4861685449995	29.0766384263189	28.497954562966	28.6493026503045	28.0350074722836	27.9548820142809	28.5157602202999	29.058832768985	48.6834012843217	29.5840996603361	29.8422816916782	30.4921881843669	27.4207122942628	"a.xlsx"
"Orf73_LANA_124002"	48.8929347789324	34.3738214831652	36.1632900452258	35.6024118392068	32.9760773824511	29.637516632338	35.1661732345254	34.9525053465181	32.433004833766	34.6765176578421	49.3221592524888	49.6954853768336	49.1857498059273	33.9909998504855	33.1808424417914	49.3826709964142	"a.xlsx"
"Orf73_LANAor72_vCyc_123511"	27.6701894084314	28.9558247076841	26.5255592710323	34.2144878026917	31.6266283616154	28.8894693374001	30.6395922286408	27.3135292931549	27.3384125570114	28.6655199626915	27.2554683441564	29.7935612575197	31.2119072973404	30.5151759093583	34.7868028713913	26.6416811690293	"a.xlsx"
"Orf8or4_6_7_10202"	50.0219600609114	49.139897242555	48.7528301201006	49.411105471971	48.6159927012865	48.4493562994269	49.6777277445738	49.8658946590936	49.3959445242406	49.4495339252832	49.1132254221189	48.8908284773463	50.0169373911671	49.1464918394903	49.4136436683118	49.0784537866028	"a.xlsx"
"Orf8or4_6_7_10467"	49.6148531370773	49.0622670802122	49.1579769814284	48.9754821666594	48.970404927931	49.4821231131438	48.5544244454309	49.4259542841953	49.6554010720036	49.7638190078365	48.8648806009332	48.3567968802761	48.8271655079615	48.7026086128613	48.6801570572446	49.5445687846583	"a.xlsx"
"Orf8or4_6_7_10765"	49.1936816557179	48.5775714312995	49.6116844595804	49.3724482233628	48.48171166137	49.1580023509835	48.9650116749227	49.4331899563052	48.9850070886097	48.7480521043398	50.1157517673065	49.7110294901914	48.5171329556127	49.6517774866881	50.1311311855036	50.0128864196164	"a.xlsx"
"Orf9or4_6_7_8_13610"	50.0766941980244	48.5030009672246	49.5825107782688	48.9265605387225	48.9867389594134	50.0732892238006	49.0976760261199	49.4227175664226	49.6342899813662	49.3188697263422	49.8616523071736	49.6889465897633	43.8400266950224	49.4187913981523	49.9378389584461	50.1717483351929	"a.xlsx"
"Orf9or4_6_7_8_13806"	48.8823653299059	49.113521379312	49.0356116490236	49.4996184812332	49.4819138563148	48.1332397583274	48.8890327693829	49.112214767012	48.7933008304406	49.0288421411034	49.4493448601197	49.6753973074451	48.9226754026549	31.8988351137479	48.4222299426383	30.7325645583751	"a.xlsx"
"ACTIN_2"	6.69345783331168	6.48319214221288	6.12523983474708	6.83613812370015	6.39558143758839	6.65591038847261	6.25540431018919	5.97254689240152	6.22036002833939	6.80610016782889	6.46066367530944	8.15530501904617	6.71848946320439	6.86367291658213	6.85866659060359	6.18531574648959	"b.xlsx"
"B2M_2"	6.06266076001529	5.60458193297863	5.54450602123611	6.00008168528351	5.43687001269744	5.75977803831345	5.61960091091426	5.24662962551282	5.57704714009664	6.17279993154323	6.06266076001529	7.14402717138053	5.99757852229424	6.03262280414403	6.00258484827278	5.64963886678551	"b.xlsx"
"BACT_2"	20.1377838674823	19.3134783469141	18.3490408878492	20.0635963706312	18.90132558663	19.5195547270561	18.9095686418356	17.6566242505719	18.4891728263458	20.5169644069437	19.4288811197936	23	20.4675060757096	20.99	20.3521033028301	18.8683533658072	"b.xlsx"
"K14_128145"	49.6075859535255	49.5642475553208	49.6958807105615	49.7357688627277	48.9974647814143	48.686374115325	49.6852973029387	49.2696769550598	49.1948238574777	48.5500567501558	48.944251237833	49.1661972142339	49.0477688868456	49.4518716437352	49.9533926254053	49.1421945679304	"b.xlsx"
"K14_128651"	40.5901150344418	40.0488512073163	41.3145319779674	40.9308274610446	39.9908472005351	40.8111521479245	41.3465591057024	39.9035680863707	40.1874852660602	40.485934759317	41.0241227534989	41.0674736959151	40.8544077392531	40.6212291321758	41.1281816812946	26.6033982940745	"b.xlsx"
"K14orORF74_129773"	47.5477878780927	48.4683448965793	29.1128763164536	47.5866744474514	48.30749894322	48.2889894856865	31.1460452825636	48.2890141053294	30.6289893816994	30.2872066675689	48.9598682056064	48.0781709229492	47.9359693742216	47.5855426474276	48.3025204653038	30.6640440190461	"b.xlsx"
"K14orORF74_129945"	40.6634428936616	40.4625323142234	25.1997199614241	40.5193290992516	39.9046227973674	40.5274009281226	40.8193148366973	39.9601858600673	26.8767461799064	26.4630304608095	25.9458858119382	40.6367528514916	40.8552871687868	40.7926325060874	40.6113334212957	25.2144955228204	"b.xlsx"
"K14orORF74_130126"	43.7579119691586	44.9137005758514	28.8615973840814	43.7228255117152	44.7877488315654	42.2900753854134	44.975805234995	44.2370186716723	44.8333056745257	44.2041147219763	43.7780386717822	45.0619329099459	29.1444749837574	44.8770914137935	45.1917089043511	44.4013123214638	"b.xlsx"
