,0
320,1154.0
321,31980.0
322,31729.0
323,31544.0
324,684.0
325,34095.0
326,33880.0
327,33606.0
328,15345.0
329,15147.0
330,14651.0
331,13249.0
332,12450.0
333,12449.5
334,12448.0
335,8083.0
336,8028.0
337,5604.0
338,5534.0
339,3963.0
340,3825.0
341,3007.0
342,2719.0
343,2399.0
344,1718.0
345,1293.0
346,32119.0
347,31868.0
348,31683.0
349,823.0
350,139.0
351,34715.0
352,34500.0
353,34226.0
354,15965.0
355,15767.0
356,15271.0
357,13869.0
358,13070.0
359,13069.5
360,13068.0
361,8703.0
362,8648.0
363,6224.0
364,6154.0
365,4583.0
366,4445.0
367,3627.0
368,3339.0
369,3019.0
370,2338.0
371,1913.0
372,32739.0
373,32488.0
374,32303.0
375,1443.0
376,759.0
377,620.0
378,35066.0
379,34851.0
380,34577.0
381,16316.0
382,16118.0
383,15622.0
384,14220.0
385,13421.0
386,13420.5
387,13419.0
388,9054.0
389,8999.0
390,6575.0
391,6505.0
392,4934.0
393,4796.0
394,3978.0
395,3690.0
396,3370.0
397,2689.0
398,2264.0
399,33090.0
400,32839.0
401,32654.0
402,1794.0
403,1110.0
404,971.0
405,351.0
406,35307.0
407,35092.0
408,34818.0
409,16557.0
410,16359.0
411,15863.0
412,14461.0
413,13662.0
414,13661.5
415,13660.0
416,9295.0
417,9240.0
418,6816.0
419,6746.0
420,5175.0
421,5037.0
422,4219.0
423,3931.0
424,3611.0
425,2930.0
426,2505.0
427,33331.0
428,33080.0
429,32895.0
430,2035.0
431,1351.0
432,1212.0
433,592.0
434,241.0
435,35969.5
436,35754.5
437,35480.5
438,17219.5
439,17021.5
440,16525.5
441,15123.5
442,14324.5
443,14324.0
444,14322.5
445,9957.5
446,9902.5
447,7478.5
448,7408.5
449,5837.5
450,5699.5
451,4881.5
452,4593.5
453,4273.5
454,3592.5
455,3167.5
456,33993.5
457,33742.5
458,33557.5
459,2697.5
460,2013.5
461,1874.5
462,1254.5
463,903.5
464,662.5
465,36367.0
466,36152.0
467,35878.0
468,17617.0
469,17419.0
470,16923.0
471,15521.0
472,14722.0
473,14721.5
474,14720.0
475,10355.0
476,10300.0
477,7876.0
478,7806.0
479,6235.0
480,6097.0
481,5279.0
482,4991.0
483,4671.0
484,3990.0
485,3565.0
486,34391.0
487,34140.0
488,33955.0
489,3095.0
490,2411.0
491,2272.0
492,1652.0
493,1301.0
494,1060.0
495,397.5
496,36774.0
497,36559.0
498,36285.0
499,18024.0
500,17826.0
501,17330.0
502,15928.0
503,15129.0
504,15128.5
505,15127.0
506,10762.0
507,10707.0
508,8283.0
509,8213.0
510,6642.0
511,6504.0
512,5686.0
513,5398.0
514,5078.0
515,4397.0
516,3972.0
517,34798.0
518,34547.0
519,34362.0
520,3502.0
521,2818.0
522,2679.0
523,2059.0
524,1708.0
525,1467.0
526,804.5
527,407.0
528,38203.0
529,37988.0
530,37714.0
531,19453.0
532,19255.0
533,18759.0
534,17357.0
535,16558.0
536,16557.5
537,16556.0
538,12191.0
539,12136.0
540,9712.0
541,9642.0
542,8071.0
543,7933.0
544,7115.0
545,6827.0
546,6507.0
547,5826.0
548,5401.0
549,36227.0
550,35976.0
551,35791.0
552,4931.0
553,4247.0
554,4108.0
555,3488.0
556,3137.0
557,2896.0
558,2233.5
559,1836.0
560,1429.0
561,38308.0
562,38093.0
563,37819.0
564,19558.0
565,19360.0
566,18864.0
567,17462.0
568,16663.0
569,16662.5
570,16661.0
571,12296.0
572,12241.0
573,9817.0
574,9747.0
575,8176.0
576,8038.0
577,7220.0
578,6932.0
579,6612.0
580,5931.0
581,5506.0
582,36332.0
583,36081.0
584,35896.0
585,5036.0
586,4352.0
587,4213.0
588,3593.0
589,3242.0
590,3001.0
591,2338.5
592,1941.0
593,1534.0
594,105.0
595,38724.0
596,38509.0
597,38235.0
598,19974.0
599,19776.0
600,19280.0
601,17878.0
602,17079.0
603,17078.5
604,17077.0
605,12712.0
606,12657.0
607,10233.0
608,10163.0
609,8592.0
610,8454.0
611,7636.0
612,7348.0
613,7028.0
614,6347.0
