,K1,K14,K15,K2,K3,K4,K5,K7,LANA,Orf10,Orf11,Orf16,Orf17,Orf18,Orf20,Orf21,Orf22,Orf23,Orf24,Orf25,Orf26,Orf27,Orf29,Orf30,Orf32,Orf34,Orf36,Orf37,Orf39,Orf4,Orf40,Orf42,Orf43,Orf44,Orf45,Orf46,Orf47,Orf48,Orf49,Orf50,Orf52,Orf54,Orf55,Orf56,Orf57,Orf58,Orf59,Orf6,Orf60,Orf61,Orf62,Orf63,Orf65,Orf66,Orf67,Orf68,Orf69,Orf7,Orf70,Orf8,Orf9,vIRF1,vIRF2,vIRF4,cluster
1835,4.096640888917813,0.3572359354743617,-1.1721225972999751,1.95915303538639,-4.05332123026571,0.23437564417730647,2.6926694577362595,-1.6036227919175747,3.813996431761038,8.26999420884021,4.846959069800725,3.7754381643839405,1.7903495321200211,5.507091617618017,3.805766859707512,-1.6646822847089082,1.277904899955607,4.96155319823052,-1.9544132209047,3.12556324829316,3.52882557461205,-0.004690343561660093,-0.9616431258201702,4.086107612147114,0.5092905319511226,4.128054061465971,-0.47293631057990404,-9.493592990931472,-1.246610814444684,-0.1549703591868301,-0.32360167747273644,-0.3285687764747025,-1.5250124884242482,-0.11648881567282032,-4.967491671428758,5.10457386717833,2.429765681241178,2.0713006266399816,1.8193142112848277,1.9232767021304014,8.97598972400588,0.05533414766626125,2.0784134672310044,0.5004762891951701,1.3257003143269002,4.8497120606014485,2.343777046126329,9.436999889363724,2.22331557448206,-1.6597506272663125,4.214041539811315,-2.0880974425769785,-14.098924643898,-2.6865547010048423,3.128608152369055,0.08459396014748659,4.73977472625871,8.517483646244758,-2.35642322374483,8.38458683114691,7.890431565616616,-0.6325539291281065,-4.351413271099505,0.5052182868393797,1
3392,-1.415987336128092,6.016536655748289,1.5313664842290549,6.60496817126811,8.649769576518187,8.848171559248634,5.84348459361798,11.21416351274855,6.259230054054581,9.952476011388624,8.34277420568247,12.30822446905005,4.163196468423514,5.854999185558917,9.899947398130553,2.2405085850685182,10.57968159421659,12.954339502896651,3.2603442525458597,8.666025830031144,3.6217331425529045,6.643095961104475,10.440133568440784,6.013236860551779,5.1771374682546245,6.5158403661321005,-0.47293631057990404,7.881164482519081,4.86814665900588,7.0154922225511696,5.5766273662601815,8.349217528191447,7.911804626928279,8.139630822326657,2.8359003994805,-1.19961099693996,7.051566401515105,8.035601346913918,6.239917814680317,3.4054059505350662,10.821804859887589,6.815796729404265,5.505854043450138,5.915868360104438,5.818182116875282,8.942193863149834,7.076258848674731,9.866148358578775,7.84913071036377,9.8620500930076,9.189856675693038,4.385754036643924,10.6668904919837,6.1715824925017655,9.176394457035174,1.5940873525718822,8.165589862140429,8.05996544879313,8.86333424970574,10.43706863369533,8.429580034831687,6.67424679114583,9.346373033566636,10.442019007113318,1
3450,-1.415987336128092,2.6784504967127374,-8.19226329881994,-7.03478930218246,-3.0014673127479248,-2.9682525808685867,-5.58627287983259,-1.9828130844253198,-7.823326971029582,-9.337281462061947,2.33357848478524,-5.406533004400485,-3.939121636664395,6.037901325110317,-3.793810075320014,-0.29414247971407165,-4.12340921256733,-5.00041797055391,-1.9544132209047,-3.4703983100860736,-2.678145594172375,-0.32888063606940854,-4.65295723834312,-0.6846666953809999,-2.7901806368333024,-4.593917107318455,-0.47293631057990404,-1.9958121146548105,-1.246610814444684,-6.582411333381607,-6.009178612500284,-6.845539945259111,-8.007806016762746,-7.603272733606116,-4.4994076719273846,-6.35380671783716,-5.9568006337971084,-7.035265688398308,-4.709390256727555,-7.764164272064384,-12.905171737286299,-5.96025290901072,-8.122839584799634,-7.1127767628354714,-3.5845341882063937,-4.7847827340240485,-5.479790789740277,-11.210275781538483,-7.297845886810083,-7.346316942304635,-9.949713546906398,-0.9094660143617112,-14.5128669814669,-2.326494701361008,-6.100582140138676,-6.528116916544697,-17.93916761131015,-6.823125357990757,-2.35642322374483,-5.1475015889041424,-2.6549901877677873,-3.2052298060280657,-2.6856035636072497,-5.5299575900605875,2
3588,-1.415987336128092,-6.852366798054232,-0.9114631762636272,-7.03478930218246,-4.05332123026571,-2.9682525808685867,-5.58627287983259,-14.070593960702015,-8.185039260262087,-9.337281462061947,-5.04612924812007,-5.406533004400485,-3.939121636664395,-3.3648795511663834,-3.793810075320014,-0.27209371746649164,0.6604934671980333,-5.00041797055391,-1.9544132209047,-3.4703983100860736,-2.678145594172375,-4.216661512346085,-4.65295723834312,-3.866520612898787,-2.7901806368333024,-4.593917107318455,-0.47293631057990404,-9.493592990931472,-1.246610814444684,-7.36093191756606,-2.7228370046410584,-3.72511293543509,-5.611041927731179,-7.566223971358537,-7.406490642533191,0.372339568905574,-7.502764062111423,-7.453729116712623,-3.9024732273333718,-4.181830836600796,-1.7020985939149447,-5.030058064280937,-8.869951935310313,-0.06920589762769831,-14.161006010143268,-8.145327597202032,-4.922929278343816,-11.210275781538483,-11.794772743438715,-5.491853360794927,-8.456282791208174,-5.530971581635613,-14.5128669814669,-8.378000268634908,-6.743363016415355,4.493476811011121,-4.748313591662111,-6.823125357990757,-2.35642322374483,-8.836022173088596,-8.510177438618907,-3.379656662656702,-0.23753042023587945,-10.934811456513243,2
4337,8.505473029640337,9.671572881399493,2.990388219619781,3.7600043969193,4.808139135502716,1.8216098851992566,2.463520819269175,8.909199738399746,8.276762657140658,7.4941789037064765,7.61781043133365,4.58586384515039,5.195672062437364,-3.3648795511663834,2.4530661441410357,-0.18946726449735163,-4.12340921256733,3.40197887899697,2.1003804781970614,1.9127974893150999,1.2342512553785046,3.138132186755675,4.43023856105804,4.751606419536306,0.13971621271757995,4.71587659178331,-0.47293631057990404,5.416200708170275,-0.35921396489380253,7.750528448202377,5.164656346781141,6.26555532906718,6.864334814970942,7.373000381311178,2.6549366251316964,3.17542522871124,5.471602627166312,7.845637572565117,4.494954040331512,3.1863098930026315,7.13184108553879,2.4441662883887934,4.4298830239710965,3.742987106114916,5.18321834252648,6.538896755467692,6.20462840765924,8.321184584229973,2.74416693601498,6.962086318658807,1.6524272848272663,4.359351340680491,7.66192671763488,7.395864610695729,6.16643068268639,1.2258185907642503,7.685626087791626,6.948335007777657,6.18837047535693,4.862104859346503,7.2879495938161964,3.9692830167970214,5.8564092592178305,3.82205523276451,1
4647,-1.415987336128092,-9.101644995481623,-3.981706026511695,-7.03478930218246,-4.05332123026571,-2.9682525808685867,-5.58627287983259,-14.070593960702015,-13.282291014274392,-9.337281462061947,-13.7363316233268,-5.406533004400485,-3.939121636664395,-3.3648795511663834,-3.793810075320014,0.6044380323956883,-3.8829747829397867,-5.00041797055391,-1.9544132209047,-3.4703983100860736,-2.678145594172375,-4.216661512346085,-1.0091894753822401,-3.866520612898787,-2.7901806368333024,-4.593917107318455,-0.47293631057990404,-9.493592990931472,-1.246610814444684,-7.36093191756606,-5.306917954723756,-6.845539945259111,-6.004225504652985,-7.604692221496355,-5.304553785087429,-5.34806518150788,-1.8725394274941296,-10.083830304315974,-5.619318343217193,-5.435366545140851,-14.792952613563,-4.58642521812455,-8.217691277533785,-4.339367797793084,-13.191140926947753,-12.919013062153612,-7.783064195148303,-11.210275781538483,-11.639975118645445,-7.317381558222312,-7.632582486649554,-4.259228463442494,-8.38156369258425,-7.910915232979688,-5.95771137197405,-5.806942779009389,-17.93916761131015,-6.823125357990757,-2.35642322374483,-8.836022173088596,-8.510177438618907,-7.200184860084095,-9.32773279544261,-8.272086821895957,2
4750,-0.8651685139095168,-0.318549642706378,5.92449458682101,-1.63356106885459,-4.05332123026571,-2.9682525808685867,-0.690658763168656,4.635634272625864,6.13555373794415,-0.23646263984337987,-4.01636915110417,-5.406533004400485,-3.939121636664395,6.385734565497567,-3.793810075320014,-1.8289203194559047,-4.12340921256733,-5.00041797055391,-1.9544132209047,-3.4703983100860736,-2.678145594172375,-4.216661512346085,-4.65295723834312,-3.866520612898787,-0.6198735785013351,-4.593917107318455,-0.47293631057990404,-2.7529788742675554,-1.246610814444684,5.976962982428476,-1.712932965834704,-6.845539945259111,-5.72778856205922,-5.056179201126638,2.9953711593578003,-0.508140237062655,-3.7400769552715176,-0.5082349515407429,-0.6908570721079581,0.13292926041509334,-2.6223384968990597,-1.8098085884943966,0.8945393580208467,4.604847826650571,-4.29075653435672,-9.71382086585811,-8.449755880333226,-0.5761236259865464,-15.33562676308675,-9.394593263779035,-2.7959533477602663,1.3107393698911776,-11.951638748139,-7.92235452663037,-6.452748899751455,0.02490357469368254,5.80706062201773,-0.5760492802148036,-2.35642322374483,-4.058946095312639,-6.956434694176282,-5.745203623972787,-3.6877703232199948,-10.817124349673325,2
4983,-1.415987336128092,6.091838031546187,8.952908106023736,-7.03478930218246,-4.05332123026571,-2.9682525808685867,-5.58627287983259,-14.070593960702015,2.7016699205809656,-9.337281462061947,-8.086110701602475,-5.406533004400485,-3.939121636664395,-3.3648795511663834,-3.793810075320014,1.7779186468785682,1.7705058315431,-5.00041797055391,-1.9544132209047,-3.4703983100860736,-2.678145594172375,-4.216661512346085,-4.65295723834312,-3.866520612898787,-2.7901806368333024,-4.593917107318455,-0.47293631057990404,-9.493592990931472,-1.246610814444684,-7.36093191756606,-0.8608295860340242,5.730332620906539,3.666212631885113,1.0374125817084083,2.083539031894942,9.02237666194076,2.9276814942301974,2.9271527227117895,2.333207420628518,6.023478565305349,12.9537925187683,5.9105360108412235,9.837444170554722,7.4771579660526415,8.980169775755988,1.0735998112534433,1.73099813011168,-6.746360737428041,-0.9247541969211,4.388601468805501,2.4126384350747663,5.6854959169399715,11.8688781508644,8.431573677416567,-2.62249045024973,6.053495357528718,8.64257752102114,-6.823125357990757,-2.35642322374483,-8.836022173088596,-8.510177438618907,6.66829816694372,0.8824881262817152,7.631070382911208,1
5030,-1.415987336128092,5.501185114875585,6.892211661575097,5.43108527458802,4.5405951542479395,-2.9682525808685867,1.0596016969378885,8.215280616068505,7.415735447042505,7.8752597813751875,7.878891309002375,8.274341572370014,-2.456184348279155,5.493057737218867,-0.07746024461182408,1.1526284616916351,7.112465364203163,11.29045660621656,0.74146135586578,0.9101847410942461,3.289791694212864,5.334213064424395,0.64900095391369,4.98602063053836,2.6892252957445573,6.156957469452025,-0.47293631057990404,5.212281585838991,0.411326473940551,9.911609325871074,10.3786959642702,6.88533463151138,8.696214642489947,8.640747925646565,5.64801750280041,6.21650610637996,6.930183504835037,8.561718450233828,5.72803491800023,5.292898194931484,9.777921963207495,8.195247166057507,8.122747726106079,6.114810548070254,6.550965886861866,6.776644299803082,4.03570928532796,9.895598795232006,9.040247813683695,9.33566719632752,8.434307112346273,6.160123396158154,11.2130075953036,9.388219648697497,8.91251156035508,5.881539175876731,10.51170696546035,10.706082552113067,-2.35642322374483,8.863185737015227,10.692363804818259,6.2313952502731205,7.83749013688655,9.13063611043322,1
5098,-1.415987336128092,-0.5007236696682017,3.1435089580617306,-7.03478930218246,-4.05332123026571,-2.9682525808685867,-5.58627287983259,-14.070593960702015,-1.3880543338857885,-9.337281462061947,-14.7369832677681,-5.406533004400485,-3.939121636664395,-3.3648795511663834,-3.793810075320014,-2.9793322656460117,-4.12340921256733,-5.00041797055391,-1.9544132209047,-3.4703983100860736,-2.678145594172375,-4.216661512346085,-2.5546251725501965,-3.866520612898787,-2.7901806368333024,-4.593917107318455,-0.47293631057990404,-9.493592990931472,-1.246610814444684,-7.36093191756606,-2.1741793730245242,2.159458153430265,1.1670041973053134,-2.2942952191011847,-2.4198601160670585,1.65562772698825,-0.29569297324606714,-3.79040897850258,-1.2348419403429887,1.9023126086703448,5.72704358381578,1.8160367208728736,4.315045783116954,2.9191086050811217,1.6900875074701533,-6.230899478714883,1.5198321734766769,-11.210275781538483,-2.670630565708025,0.1635397675911252,-1.682402699068147,2.5487822398242392,4.97212921591189,2.5896101524504864,1.8991350822740152,3.0201208900524676,0.6458285860686306,-6.823125357990757,-2.35642322374483,-8.836022173088596,-8.510177438618907,2.8032364657293356,4.701611757494835,2.558508681696815,2
