type,Date,Array,Primer,Type,Gene,Concat,Good,Plate,629,731,1314,1700,2572,2741,2858,2910,2969,3544,3937,4428,4678,5485,7121,8239
CT,112511,KSHV dream array,Orf40 (62028),KSHV,ORF40,KSHV dream arrayOrf40 (62028),good,PP1,60,60,35.96,60,60,60,35.97,60,60,60,60,60,60,60,60,33.56
CT,112511,KSHV dream array,Orf40 (62161),KSHV,ORF40,KSHV dream arrayOrf40 (62161),good,PP1,60,60,60,60,60,60,60,60,37.33,60,60,60,60,60,60,36.88
CT,112511,KSHV dream array,Orf42 or Orf43 (62906),KSHV,Orf42 or Orf43,KSHV dream arrayOrf42 or Orf43 (62906),good,PP1,38.11,60,39.45,60,38.11,60,39.78,60,60,60,60,60,37.96,60,60,35.62
CT,112511,KSHV dream array,Orf43 (63567),KSHV,Orf43,KSHV dream arrayOrf43 (63567),good,PP2,54.94,60,36.45,60,60,60,60,60,60,60,60,60,36.69,60,60,33.62
CT,112511,KSHV dream array,Orf43 (63853),KSHV,Orf43,KSHV dream arrayOrf43 (63853),good,PP2,60,60,34.95,60,60,60,60,34.89,60,60,60,60,60,60,60,33.35
CT,112511,KSHV dream array,Orf43 (64036),KSHV,Orf43,KSHV dream arrayOrf43 (64036),good,PP2,60,60,60,60,48.17,60,60,42.2,60,60,60,60,60,60,60,35.96
CT,112511,KSHV dream array,Orf44 (66282),KSHV,Orf44,KSHV dream arrayOrf44 (66282),good,PP2,60,60,60,36.23,35.36,60,60,60,60,60,60,60,35.8,60,60,60
CT,112511,KSHV dream array,Orf44 (66755),KSHV,Orf44,KSHV dream arrayOrf44 (66755),good,PP2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,36.89
CT,112511,KSHV dream array,Orf44 (67024),KSHV,Orf44,KSHV dream arrayOrf44 (67024),good,PP2,60,60,60,60,60,60,60,48.44,47.19,60,60,60,60,60,60,60
CT,112511,KSHV dream array,"Orf45,46,47,48 (68227)",KSHV,"Orf45,46,47,48","KSHV dream arrayOrf45,46,47,48 (68227)",good,PP2,46.35,40.1,33.37,36.1,37.98,46.46,35.92,34.7,36.49,54.35,46.67,60,36.38,35.12,60,33.78
CT,112511,KSHV dream array,"Orf46,47,48 (69318)",KSHV,"Orf46,47,48","KSHV dream arrayOrf46,47,48 (69318)",good,PP2,60,60,60,60,37.51,60,60,37.6,60,36.04,60,60,60,38.75,60,34.75
CT,112511,KSHV dream array,Orf47 or 48 (69635),KSHV,Orf47 or 48,KSHV dream arrayOrf47 or 48 (69635),good,PP2,60,60,35.85,60,48.61,60,60,60,34.32,60,60,60,60,60,60,36.16
CT,112511,KSHV dream array,Orf47 or 48 (69773),KSHV,Orf47 or 48,KSHV dream arrayOrf47 or 48 (69773),good,PP2,60,60,60,60,60,36.13,60,35.52,35.63,35.75,60,60,60,60,60,34.67
CT,112511,KSHV dream array,Orf48 (70402),KSHV,Orf48,KSHV dream arrayOrf48 (70402),good,PP2,60,60,60,60,60,60,60,35.64,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf49 or 50 (71851),KSHV,Orf49 or 50,KSHV dream arrayOrf49 or 50 (71851),good,PP2,60,60,33.86,60,50.33,35.82,35.78,33.33,34.9,35.54,60,60,60,36.19,60,34.85
CT,112511,KSHV dream array,Orf49 or 50 (72352),KSHV,Orf49 or 50,KSHV dream arrayOrf49 or 50 (72352),good,PP2,60,35.69,36.07,60,60,60,60,37.81,60,36.07,60,60,60,60,60,36.34
CT,112511,KSHV dream array,Orf50 (74850),KSHV,Orf50,KSHV dream arrayOrf50 (74850),good,PP2,36.66,60,60,60,60,60,60,60,60,56.8,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf50 or K8 (75170),KSHV,Orf50 or K8,KSHV dream arrayOrf50 or K8 (75170),good,PP2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,41.51,60
CT,112511,KSHV dream array,Orf52 (77022),KSHV,ORF52,KSHV dream arrayOrf52 (77022),good,PP2,60,60,40.2,60,60,37.85,60,36.77,60,38.97,60,60,37.77,36.2,60,34.04
CT,112511,KSHV dream array,Orf52 (77128),KSHV,ORF52,KSHV dream arrayOrf52 (77128),good,PP2,60,60,60,60,60,60,60,35.33,60,35.52,60,60,34.25,32.88,60,33.02
CT,112511,KSHV dream array,Orf54 (77844),KSHV,Orf54,KSHV dream arrayOrf54 (77844),good,PP2,60,60,60,60,60,60,60,35.27,60,60,60,60,60,60,60,33.47
CT,112511,KSHV dream array,Orf54 (78056),KSHV,Orf54,KSHV dream arrayOrf54 (78056),good,PP2,60,60,34.97,60,60,60,60,60,60,60,60,60,60,36.11,60,34.88
CT,112511,KSHV dream array,Orf55 (78956),KSHV,Orf55,KSHV dream arrayOrf55 (78956),good,PP2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,41.58
CT,112511,KSHV dream array,Orf55 (79193),KSHV,Orf55,KSHV dream arrayOrf55 (79193),good,PP2,60,60,60,60,60,60,60,35.44,60,60,60,60,60,36.33,60,36.22
CT,112511,KSHV dream array,Orf56 (80963),KSHV,Orf56,KSHV dream arrayOrf56 (80963),good,PP2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf56 (81267),KSHV,Orf56,KSHV dream arrayOrf56 (81267),good,PP2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf56 (81650),KSHV,Orf56,KSHV dream arrayOrf56 (81650),good,PP2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf56 or 57 (83216),KSHV,Orf56 or 57,KSHV dream arrayOrf56 or 57 (83216),good,PP2,33.98,60,32.98,31.74,34.12,33,31.92,30.66,60,32.33,60,60,60,32.86,60,30.66
CT,112511,KSHV dream array,"Orf58 or 59,60,61,62 (94692)",KSHV,"Orf58 or 59,60,61,62","KSHV dream arrayOrf58 or 59,60,61,62 (94692)",good,PP2,37.04,60,36.86,37,36.87,36.86,36.67,35.95,60,34.23,60,60,60,35.26,60,33.03
CT,112511,KSHV dream array,"Orf58 or 59,60,61,62 (94950)",KSHV,"Orf58 or 59,60,61,62","KSHV dream arrayOrf58 or 59,60,61,62 (94950)",good,PP2,37.78,60,34.28,37.65,37.64,36.75,34.28,34.23,60,34.22,60,60,36.65,32.28,60,32.47
CT,112511,KSHV dream array,"Orf58 or 59,60,61,62 (95417)",KSHV,"Orf58 or 59,60,61,62","KSHV dream arrayOrf58 or 59,60,61,62 (95417)",good,PP2,37.48,60,39.87,41.64,38.03,36.89,39.32,39.19,60,35.28,60,60,60,36.14,40.88,33.23
CT,112511,KSHV dream array,"Orf59,60,61,62 (95961)",KSHV,"Orf59,60,61,62","KSHV dream arrayOrf59,60,61,62 (95961)",good,PP2,34.32,60,36.18,36.42,35.63,34.36,35.16,35.09,34.25,33.75,60,60,36.08,33.4,60,32.01
CT,112511,KSHV dream array,"Orf59,60,61,62 (96407)",KSHV,"Orf59,60,61,62","KSHV dream arrayOrf59,60,61,62 (96407)",good,PP2,60,60,34.68,34.61,35.56,36.38,37.87,35.83,35.56,35.59,60,60,60,38.61,60,33.81
CT,112511,KSHV dream array,ORF6 or 4 (5672),KSHV,ORF6 or 4,KSHV dream arrayORF6 or 4 (5672),good,PP1,60,60,60,37.29,60,37.55,60,36.34,60,41.97,60,60,60,60,60,60
CT,112511,KSHV dream array,ORF6 or 4 (5859),KSHV,ORF6 or 4,KSHV dream arrayORF6 or 4 (5859),good,PP1,60,60,60,60,35.65,60,60,60,60,60,60,60,60,60,60,36.79
CT,112511,KSHV dream array,ORF6 or 4 (5921),KSHV,ORF6 or 4,KSHV dream arrayORF6 or 4 (5921),good,PP1,60,60,60,60,36.28,60,35.09,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,"Orf60,61,62 (97138)",KSHV,"Orf60,61,62","KSHV dream arrayOrf60,61,62 (97138)",good,PP2,60,60,43.64,60,60,46.8,60,60,60,60,60,60,60,60,60,43.1
CT,112511,KSHV dream array,"Orf60,61,62 (97630)",KSHV,"Orf60,61,62","KSHV dream arrayOrf60,61,62 (97630)",good,PP2,60,60,60,60,60,37,60,60,60,60,60,60,60,35.97,60,34.36
CT,112511,KSHV dream array,Orf61 or 62 (98333),KSHV,Orf61 or 62,KSHV dream arrayOrf61 or 62 (98333),good,PP2,60,60,60,37.95,37.82,38.99,60,38.53,60,35.46,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf61 or 62 (98515),KSHV,Orf61 or 62,KSHV dream arrayOrf61 or 62 (98515),good,PP2,35.13,60,60,44.99,33.29,35.42,60,60,60,60,60,60,60,60,34.8,34.97
CT,112511,KSHV dream array,Orf62 (100787),KSHV,Orf62,KSHV dream arrayOrf62 (100787),good,PP2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf62 (100977),KSHV,Orf62,KSHV dream arrayOrf62 (100977),good,PP2,60,44.18,60,42.3,60,60,60,36.13,60,60,60,60,60,60,37.21,60
CT,112511,KSHV dream array,Orf62 (101132),KSHV,Orf62,KSHV dream arrayOrf62 (101132),good,PP2,60,60,60,60,36.58,60,60,60,60,60,60,60,60,60,55.96,35.82
CT,112511,KSHV dream array,Orf63 (103119),KSHV,Orf63,KSHV dream arrayOrf63 (103119),good,PP2,60,60,60,42.73,60,60,60,60,60,60,60,60,60,60,60,39.78
CT,112511,KSHV dream array,Orf63 (103639),KSHV,Orf63,KSHV dream arrayOrf63 (103639),good,PP2,60,60,60,60,40.87,60,60,60,60,60,60,60,60,60,60,37.83
CT,112511,KSHV dream array,Orf63 or Orf64 (111231),KSHV,Orf63 or Orf64,KSHV dream arrayOrf63 or Orf64 (111231),good,PP2,60,60,53.44,60,39.26,60,60,60,60,60,60,60,60,60,60,60
CT,112511,KSHV dream array,Orf63 or Orf64 (111599),KSHV,Orf63 or Orf64,KSHV dream arrayOrf63 or Orf64 (111599),good,PP2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,36.27
CT,112511,KSHV dream array,"Orf65 or 66, 67, 67A (112376)",KSHV,"Orf65 or 66, 67, 67A","KSHV dream arrayOrf65 or 66, 67, 67A (112376)",good,PP2,44.85,60,44.5,60,60,60,60,41.33,50.11,43.96,60,60,60,40.62,60,40.13
CT,112511,KSHV dream array,"Orf66 or 67, 67A (112774)",KSHV,"Orf66 or 67, 67A","KSHV dream arrayOrf66 or 67, 67A (112774)",good,PP2,60,60,35.8,49.59,37.46,37.86,38.1,35.41,60,34.74,60,60,60,34.22,60,32.88
CT,112511,KSHV dream array,"Orf66 or 67, 67A (113453)",KSHV,"Orf66 or 67, 67A","KSHV dream arrayOrf66 or 67, 67A (113453)",good,PP2,60,60,34.28,60,60,60,34.97,60,60,36.26,60,60,60,37.05,36.3,33.3
CT,112511,KSHV dream array,"Orf66 or 67, 67A (114218)",KSHV,"Orf66 or 67, 67A","KSHV dream arrayOrf66 or 67, 67A (114218)",good,PP2,35.74,60,35.76,60,36.02,60,60,35.03,60,57.24,60,60,60,60,60,33.73
CT,112511,KSHV dream array,"Orf66 or 67, 67A (114453)",KSHV,"Orf66 or 67, 67A","KSHV dream arrayOrf66 or 67, 67A (114453)",good,PP2,60,60,36.36,60,60,52.69,60,60,60,36.65,60,60,60,37.01,60,33.98
CT,112511,KSHV dream array,Orf67 or 67A (113980),KSHV,Orf67 or 67A,KSHV dream arrayOrf67 or 67A (113980),good,PP2,35.48,60,60,60,60,60,60,60,60,38.29,60,60,60,35.77,60,33.17
CT,112511,KSHV dream array,Orf68 (115939),KSHV,Orf68,KSHV dream arrayOrf68 (115939),good,PP2,60,60,60,60,37.68,60,60,60,60,60,60,60,60,60,60,60
