"type","Date","Array","Primer","Type","Gene","Concat","Good","Plate","X629","X731","X1314","X1700","X2572","X2741","X2858","X2910","X2969","X3544","X3937","X4428","X4678","X5485","X7121","X8239"
"CT","112511","KSHV dream array","ORF17 (32510)","KSHV","ORF17","KSHV dream arrayORF17 (32510)","good","PP1",35.18,55.2204459724016,55.2852664189413,54.5352921769954,55.3844793383032,44.75,54.0518816979602,54.2058758749627,55.2421347107738,54.3052839483134,48.5890518582054,54.0391459483653,54.7039690027013,54.9861810333095,54.5377884558402,33.93
"CT","112511","KSHV dream array","ORF17 or Orf17.5 (31509)","KSHV","ORF17 or Orf17.5","KSHV dream arrayORF17 or Orf17.5 (31509)","good","PP1",54.1895766886882,55.8376242904924,38.93,55.1446137009189,55.1454907548614,37.46,39.63,55.3669666652568,55.4862590450794,38.57,55.4401819454506,55.047363688238,54.1522083608434,38.81,55.2273497930728,34.93
"CT","112511","KSHV dream array","ORF18 (32935)","KSHV","ORF18 ","KSHV dream arrayORF18 (32935)","good","PP1",54.1831446522847,55.3911187029444,32.95,55.3558167279698,54.2566267289221,55.7594566531479,55.7698491192423,54.7373916432261,55.2539749406278,36.87,54.4803740647621,55.2592487940565,55.4225991363637,38.17,55.3043611235917,33.7
"CT","112511","KSHV dream array","Orf18 or 20 or 19 (33405)","KSHV","Orf18 or 20 or 19","KSHV dream arrayOrf18 or 20 or 19 (33405)","good","PP1",55.4718033093959,54.1063560624607,54.0198671454564,55.3764282739721,55.8551721130498,54.6660317890346,54.664562036749,55.0869810748845,54.8270792737603,54.7669382584281,55.5541462702677,55.8642732435837,54.5568889495917,55.5574444243684,55.516129527241,54.5175012899563
"CT","112511","KSHV dream array","Orf20 or Orf19 (34089)","KSHV","Orf20 or Orf19","KSHV dream arrayOrf20 or Orf19 (34089)","good","PP1",38.84,38.26,33.96,39.94,48.8451490712725,40.78,38.72,43.83,46.8619799456932,44.75,42.96,37.63,43.71,37.07,38.88,34.98
"CT","112511","KSHV dream array","Orf20 or Orf19 (34848)","KSHV","Orf20 or Orf19","KSHV dream arrayOrf20 or Orf19 (34848)","good","PP1",54.55577425519,54.1453297967091,54.9864543778822,55.4574897205457,55.7295882976614,55.681820880156,54.128839968238,55.9359048265032,54.784030537121,54.7178199617192,54.917605092749,54.8342897398397,55.3516478920355,54.5657062367536,55.0776874641888,35.32
"CT","112511","KSHV dream array","Orf20 or Orf19 (35199)","KSHV","Orf20 or Orf19","KSHV dream arrayOrf20 or Orf19 (35199)","good","PP1",55.8189634652808,54.5051306332462,55.4266630471684,54.3038367521949,55.3126599257812,55.275575900916,54.1076626512222,55.9377841232345,54.9857443491928,55.7920412393287,54.6144370068796,55.3558501666412,54.2533259126358,55.081144541502,55.494874662254,55.7245336715132
"CT","112511","KSHV dream array","Orf20 or Orf19 (35440)","KSHV","Orf20 or Orf19","KSHV dream arrayOrf20 or Orf19 (35440)","good","PP1",55.9987561930902,55.4881082382053,55.1125624720007,54.073631410487,55.2014589901082,54.1279735644348,55.9060131087899,54.6818329016678,54.9756588330492,54.3672478692606,55.3674730933271,54.1075096675195,54.1668882989325,54.0536400545388,54.0434259395115,54.5645152851939
"CT","112511","KSHV dream array","Orf21 (36102,2)","KSHV","Orf21","KSHV dream arrayOrf21 (36102,2)","good","PP2",43.16,44.02,56.4262315736897,42.2,42.21,41.25,39.63,41.89,39.56,42.8,47.7290030378662,54.9394620638341,42.86,44.47,46.2548414687067,42.6
"CT","112511","KSHV dream array","Orf21 (36102)","KSHV","Orf21","KSHV dream arrayOrf21 (36102)","good","PP1",41.43,42.84,54.4491971749812,41.85,44.55,48.9319669895619,44.99,42.03,43.68,48.4908725815453,44.89,51.6622681125812,56.3308142838627,44.62,45.8087063408643,42.14
