"type","Date","Array","Primer","Type","Gene","Concat","Good","Plate","X629","X731","X1314","X1700","X2572","X2741","X2858","X2910","X2969","X3544","X3937","X4428","X4678","X5485","X7121","X8239"
"CT","112511","KSHV dream array","K3 (19081)","KSHV","K3","KSHV dream arrayK3 (19081)","good","PP1",44.7840336975642,44.7100794650614,44.2105650799349,45.731072477065,44.7089292681776,36.04,36.77,45.605327618774,44.1732097808272,36.31,45.1439227629453,44.5225760373287,44.5074129998684,37.93,45.367661097087,44.1215463075787
"CT","112511","KSHV dream array","K3 (19577)","KSHV","K3","KSHV dream arrayK3 (19577)","good","PP1",44.5091514983214,45.5310163712129,45.610018061474,45.5958543093875,45.856342708692,44.8440034515224,45.5937925181352,45.213398934342,45.4325870526955,38.68,44.7688367590308,45.6094773425721,45.7911309991032,36.65,45.6336883753538,50.7118462306075
"CT","112511","KSHV dream array","K4 (21778)","KSHV","K4","KSHV dream arrayK4 (21778)","good","PP1",34.76,45.4160145297647,45.8755251830444,44.1266027437523,45.4807900073938,39.17,36.48,45.1173045192845,44.9067580485716,35.55,45.1504608807154,45.0851756636985,44.3747555473819,35.82,44.4958538776264,44.9178300416097
"CT","112511","KSHV dream array","K5 (26200,2)","KSHV","K5","KSHV dream arrayK5 (26200,2)","good","PP2",36.96,33.94,28.24,35.13,46.8279746701196,33.84,31.88,33.49,35.47,34.42,46.8614992841706,46.9897960490733,34.61,33.28,46.9159710823745,32.58
"CT","112511","KSHV dream array","K5 (26200)","KSHV","K5","KSHV dream arrayK5 (26200)","good","PP1",44.8258672030643,35.25,30.51,43.14,37.6,38.55,35.7,34.64,34.66,33.57,36.67,45.2146809017286,35.4,36.82,45.8491199123673,34.9
"CT","112511","KSHV dream array","K7 (28624)","KSHV","K7","KSHV dream arrayK7 (28624)","good","PP1",33.7,44.1050762441009,31.03,39.93,44.809380848892,44.8469339148141,45.6742830905132,45.4769359896891,35.19,34,34.91,45.3612550962716,44.7786234589294,34.29,44.1069918591529,44.595601038076
"CT","112511","KSHV dream array","K7 (28694)","KSHV","K7","KSHV dream arrayK7 (28694)","good","PP1",32.03,34.93,27.97,32.09,32.5,31.29,31.33,31.99,32.85,29.38,45.654732442461,45.0149399796501,32.67,29.05,35.91,28.53
"CT","112511","KSHV dream array","Orf 10 or 4,6,7,8,9 (15008)","KSHV","Orf 10 or 4,6,7,8,9","KSHV dream arrayOrf 10 or 4,6,7,8,9 (15008)","good","PP1",45.4817841621116,44.2007855493575,45.6938814246096,44.749607140664,36.54,37.88,38.56,45.1855816049501,44.4762708535418,35.31,45.9603870417923,44.4775858838111,37.92,45.8260021051392,44.4625969212502,43.5
"CT","112511","KSHV dream array","Orf 10 or 4,6,7,8,9 (15244)","KSHV","Orf 10 or 4,6,7,8,9","KSHV dream arrayOrf 10 or 4,6,7,8,9 (15244)","good","PP1",44.8129932638258,44.1755213350989,44.0461011324078,45.3450411483645,45.0494703142904,44.8762801303528,36.02,36.64,34.33,36.92,45.4699387573637,45.6834956845269,44.4343784642406,45.1358200507239,45.1046832930297,44.2935165897943
"CT","112511","KSHV dream array","Orf 10 or 4,6,7,8,9 (15288)","KSHV","Orf 10 or 4,6,7,8,9","KSHV dream arrayOrf 10 or 4,6,7,8,9 (15288)","good","PP1",53.5457653732412,45.6946736113168,35.06,45.0114256925881,45.8245446318761,44.4065045770258,44.3711981377564,45.473061805591,45.8263338292018,36.81,44.5054423077963,45.0275867283344,45.3520247330889,45.4076808388345,45.4849574388936,44.2970219417475
"CT","112511","KSHV dream array","Orf 11 or 10,9,8,7,6,4 (16677)","KSHV","Orf 11 or 10,9,8,7,6,4","KSHV dream arrayOrf 11 or 10,9,8,7,6,4 (16677)","good","PP1",35.21,44.1340515245683,32.95,35.79,45.9506193445995,34.8,34.98,32.03,33.32,32.64,44.1965452884324,45.8847555713728,50.1138510007039,34.68,45.8573524160311,34.49
"CT","112511","KSHV dream array","Orf 22 or 21 (38336)","KSHV","Orf 22 or 21","KSHV dream arrayOrf 22 or 21 (38336)","good","PP1",43.02,45.1106735905632,37.76,45.317787298467,45.8987953192554,45.3634770908393,44.6539856116287,44.7023956310004,44.1125367763452,38.72,45.9171289755031,44.913929910399,45.3104295902885,44.3541719592176,44.1597133227624,44.216228319332
"CT","112511","KSHV dream array","Orf 22 or 21 (38857)","KSHV","Orf 22 or 21","KSHV dream arrayOrf 22 or 21 (38857)","good","PP1",37.59,45.3550718608312,45.4510353114456,45.7515678391792,44.9902923610061,44.0621703141369,45.4987245458178,44.4852456161752,44.9187492239289,36.16,45.0251091155224,45.4832275779918,44.4728049198166,45.6407754593529,45.1497537754476,44.9563149078749
"CT","112511","KSHV dream array","Orf 34 or Orf35 (55680,2)","KSHV","Orf 34 or Orf35","KSHV dream arrayOrf 34 or Orf35 (55680,2)","good","PP2",45.3520565400831,44.9258036403917,45.2892748601735,45.78391523147,45.4546055127867,35.22,45.2157403635792,45.7444042083807,44.7164752245881,45.2586835199036,45.4499108535238,44.1917659514584,44.6535256491043,45.0842487411574,44.229011239484,32.95
"CT","112511","KSHV dream array","Orf 34 or Orf35 (55680)","KSHV","Orf 34 or Orf35","KSHV dream arrayOrf 34 or Orf35 (55680)","good","PP1",44.6488914797083,44.8023739531636,34.24,44.0886950204149,45.3087379904464,36.03,35.18,47.2508784299158,45.5158165185712,35.78,44.1387987728231,45.027418134734,44.3691587601788,45.6872671600431,44.3531283936463,34.41
"CT","112511","KSHV dream array","Orf 36 or Orf34 or 35 (56709,2)","KSHV","Orf 36 or Orf34 or 35","KSHV dream arrayOrf 36 or Orf34 or 35 (56709,2)","good","PP2",45.5757184275426,54.0120598250441,45.9815817414783,44.2031798581593,44.2565302085131,41.95,48.7589700447582,41.23,44.09148298949,45.2171121239662,37.26,44.6273556747474,45.326888005808,44.1369974534027,44.35719605349,37.94
"CT","112511","KSHV dream array","Orf 36 or Orf34 or 35 (56709)","KSHV","Orf 36 or Orf34 or 35","KSHV dream arrayOrf 36 or Orf34 or 35 (56709)","good","PP1",44.0818089605309,56.9066394406185,40.14,40.46,45.3193830973469,45.7037697187625,41.12,48.611468723882,44.9360099793412,45.995965492446,38.71,47.7808022862859,44.2393543915823,45.2963252956979,44.5592490318231,33.9
"CT","112511","KSHV dream array","ORF16 (30265)","KSHV","ORF16","KSHV dream arrayORF16 (30265)","good","PP1",45.8500460479409,44.6474942718633,45.468867637217,45.6772352010012,44.9526190571487,45.6323873451911,45.5665268478915,45.2127097873017,45.7288559293374,44.9124444313347,44.2141839312389,44.7848629206419,45.638825268019,45.6320164343342,44.3529638042673,44.5229977248237
